Module,Page name,Page route,HTTP,Template,Section,Node ID,UI type,Label,Frontend handler,Called endpoint,Backend handler,Backend file,Service/module,DB read,DB write,External API,AI provider,Prompt file,Rule file,Side effect,Confirm,Status,Risk,Confidence,Notes
content_blog,Blog Content,/blog-content,GET,blog_content.html,Header,BLOG-BATCH-GEN,button,▶ Gen liên tục,startBatchGen,/blog-content/batch-gen,blog_content_batch_gen_start,content_blog.py,blog_content_writer(BG/SSE),blog_jobs,blog_jobs,,Codex/Claude,_SYSTEM_PROMPT(blog)blog_content_writer.py,seo_writing_rules.md,write-local-DB+SSE job,no,production,low,MEDIUM,SSE stream
content_blog,Blog Content,/blog-content,GET,blog_content.html,Header,BLOG-SYNC-ALL,button,🚀 Sync all draft,form submit,/blog-content/sync-all,blog_content_sync_all,content_blog.py,haravan_client,blog_jobs,blog_jobs,Haravan Open API,,,,write-external(Haravan article),yes,production,MED blog 502 known,MEDIUM,
content_blog,Blog Detail,/blog-content/<id>,GET,blog_content_detail.html,Gen,BLOG-GEN-FULL,button,🎨 Gen Full,-,/blog-content/<id>/gen-full,blog_content_gen_full,content_blog.py,blog_content_writer,blog_jobs,blog_jobs,,Codex/Claude,"_OUTLINE_SYSTEM_PROMPT,_SYSTEM_PROMPT(blog)",seo_writing_rules.md,write-local-DB,no,production,low,MEDIUM,2-pass outline→content
content_blog,Blog Detail,/blog-content/<id>,GET,blog_content_detail.html,Images,BLOG-IMG-UPLOAD,button,🖼️ Upload AI image,-,/blog-content/<id>/image-upload,blog_content_upload_image,content_blog.py,cloudinary_upload,blog_jobs,blog_jobs,Cloudinary,,,,write-external(Cloudinary),no,production,low,MEDIUM,
content_blog,Blog Detail,/blog-content/<id>,GET,blog_content_detail.html,Author,BLOG-ADD-AUTHOR,button,👤 Add Author (E-E-A-T),-,/blog-content/<id>/add-author,blog_content_add_author,content_blog.py,db,blog_jobs,blog_jobs,,,,,write-local-DB,no,production,low,MEDIUM,Person schema
content_blog,Blog Detail,/blog-content/<id>,GET,blog_content_detail.html,Sync,BLOG-SYNC,button,🚀 Sync Haravan,-,/blog-content/<id>/sync,blog_content_sync,content_blog.py,haravan_client,blog_jobs,blog_jobs,Haravan Open API,,,,write-external(Haravan),yes,production,MED,MEDIUM,
products,SP mới,/products/new,GET,products_new.html,Phase,PROD-PREVIEW,button,✨ Preview parse,doPreview,/products/new/preview,products_new_preview,products.py,product_parser,,,,,,,read-only,no,production,low,HIGH,
products,SP mới,/products/new,GET,products_new.html,Phase,PROD-ORGANIZE,button,🔄 Sắp xếp spec,doOrganizeSpec,/products/new/organize-spec,products_new_organize_spec,products.py,product_writer,,,,Codex,_ORGANIZE_SYSTEM_PROMPT product_writer.py,,read-only(AI),no,production,low,HIGH,
products,SP mới,/products/new,GET,products_new.html,Phase,PROD-GENERATE,button,🤖 Gen body+SEO,doGenerate,/products/new/generate,products_new_generate,products.py,product_writer,,,,Codex,_SYSTEM_PROMPT(product),"seo_writing_rules.md,sintech_rules.py",read-only(AI),no,production,low,HIGH,
products,SP mới,/products/new,GET,products_new.html,Phase,PROD-CREATE,button,Tạo SP,-,/products/new/create,products_new_create,products.py,haravan_client,,haravan_products,Haravan Admin,,,,write-external(Haravan) CREATE,yes(gate),production,MED create SP thật,HIGH,permission gate lift ui_form
alt,ALT Manager,/alt-manager,GET,alt_manager.html,Panel,ALT-FETCH,button,🔍 Fetch ảnh,altFetch,/api/alt-manager/fetch/start,alt_manager_fetch_start,alt.py,alt_manager(BG),haravan_products,,Haravan Admin,,,,BG job (Haravan read),no,production,low,HIGH,
alt,ALT Manager,/alt-manager,GET,alt_manager.html,Panel,ALT-GEN,button,🤖 AI gen,altGen(false),/api/alt-manager/alt-gen/start,alt_manager_alt_gen_start,alt.py,alt_manager(BG),haravan_products,,,Claude,_ALT_GEN_SYSTEM alt_manager.py,,BG AI job,no,production,low,HIGH,
alt,ALT Manager,/alt-manager,GET,alt_manager.html,Panel,ALT-GEN-DUAL,button,⚡ Dual AI gen,altGen(true),/api/alt-manager/alt-gen/start-dual,alt_manager_alt_gen_start_dual,alt.py,alt_manager(BG),haravan_products,,,Claude+Codex,_ALT_GEN_SYSTEM,,BG dual-AI job,no,production,low,HIGH,
alt,ALT Manager,/alt-manager,GET,alt_manager.html,Panel,ALT-STOP,button,⏹ Dừng,altStop,/api/alt-manager/alt-gen/stop,alt_manager_alt_gen_stop,alt.py,alt_manager,,,,,,,signal stop,no,production,low,HIGH,
alt,ALT Product,/alt-manager/<id>,GET,alt_manager_product.html,Actions,ALT-SAVE,button,💾 Save ALT,-,/api/alt-manager/<id>/save,alt_manager_save_alts,alt.py,"alt_manager,haravan_client",,haravan_products,Haravan Admin(PUT alt),,,,write-external(Haravan),no,production,MED,HIGH,
alt,ALT Product,/alt-manager/<id>,GET,alt_manager_product.html,Actions,ALT-GENSAVE-ALL,button,🤖💾 Gen+Save all,-,/api/alt-manager/<id>/gen-save-all,alt_manager_gen_save_all,alt.py,"alt_manager,haravan_client",,haravan_products,Haravan Admin,Claude,_ALT_GEN_SYSTEM,,AI gen+write-external,no,production,MED,HIGH,
seo_core,SEO Dashboard,/seo,GET,seo.html,Header,SEO-CRAWL,button,🚀 Crawl toàn bộ,form submit,/seo/crawl,seo_crawl,seo_core.py,seo_mod(BG),seo_pages,"seo_pages,seo_links",PSI/HTTP,,,seo_rules_config.json,write-local-DB+BG,no,production,low,HIGH,
seo_core,SEO Dashboard,/seo,GET,seo.html,Header,SEO-CRAWL-FRESH,button,🆕 Crawl mới (xóa data),form submit,/seo/crawl-fresh,seo_crawl_fresh,seo_core.py,"seo_mod,db","seo_pages,seo_links","seo_pages,seo_links(PURGE)",PSI/HTTP,,,,write-local-DB DESTRUCTIVE,yes,production,HIGH purge,HIGH,
seo_core,SEO Dashboard,/seo,GET,seo.html,Header,SEO-STOP,button,🛑 Stop crawl,form submit,/seo/stop-crawl,seo_stop_crawl,seo_core.py,seo_mod,,,,,,,signal stop,no,production,low,HIGH,
seo_core,SEO Dashboard,/seo,GET,seo.html,Header,SEO-SEED,button,🔄 Sitemap,form submit,/seo/seed,seo_seed,seo_core.py,"seo_mod,db",,seo_pages,Sitemap fetch,,,,write-local-DB,no,production,low,HIGH,
seo_core,SEO Dashboard,/seo,GET,seo.html,Header,SEO-CLEAR,button,(clear data),-,/seo/clear,seo_clear,seo_core.py,db,,"seo_pages,seo_links(PURGE)",,,,,write-local-DB DESTRUCTIVE,yes,production,HIGH,HIGH,
seo_core,SEO History,/seo/history,GET,seo_history.html,Actions,SEO-HIST-CAPTURE,button,📸 Capture snapshot,form submit,/seo/history/capture,seo_history_capture,seo_core.py,db,seo_pages,seo_history,,,,,write-local-DB,no,production,low,HIGH,
seo_core,SEO Rules,/seo/rules,GET,seo_rules.html,Form,SEO-RULES-SAVE,button,💾 Lưu rules,form submit,/seo/rules/save,seo_rules_save,seo_core.py,seo_mod,,(rules config file),,,,seo_rules_config.json,write-local config,no,production,low,HIGH,
seo_quality,Link gãy,/seo/broken-links,GET,seo_broken_links.html,Actions,BROKEN-CHECK,button,🔗 Check links,-,/seo/check-links,seo_check_links,seo_quality.py,"seo_mod,db(BG)",seo_links,seo_links,HTTP check,,,,write-local-DB+BG,no,production,low,HIGH,
seo_quality,Link gãy,/seo/broken-links,GET,seo_broken_links.html,Actions,BROKEN-RECHECK,button,🔄 Re-check,-,/seo/recheck-broken,seo_recheck_broken,seo_quality.py,"seo_mod,db(BG)",seo_links,seo_links,HTTP check,,,,write-local-DB+BG,no,production,low,HIGH,
seo_quality,Trùng lặp,/seo/duplicates,GET,seo_duplicates.html,Actions,DUP-RECOMPUTE,button,🔄 Recompute dup,-,/seo/recompute-dup,seo_recompute_dup,seo_core.py,"seo_mod,db",seo_pages,seo_pages,,,,,write-local-DB,no,production,low,HIGH,
seo_tools,Title & Meta,/seo/title-meta,GET,seo_title_meta.html,Header,SEO-TM-FIXALL,button,🚀 Auto-fix tất cả,startRegenAllJob?,/seo/title-meta/fix-all/start,seo_title_meta_fix_all_start,seo_tools.py,"seo_mod,db(BG)","seo_pages,collection_products",seo_pages,"Codex/Claude,Haravan,Sheets",Codex/Claude,_TITLE_META_SYSTEM_PROMPT seo.py,"sintech_rules.py,seo_writing_rules.md",write-local-DB+Haravan+Sheet+BG,yes,production,MED Haravan write,HIGH,
seo_tools,Title & Meta,/seo/title-meta,GET,seo_title_meta.html,Header,SEO-TM-DUAL,button,⚡⚡ Dual-AI Gen,startDualAIJob,/seo/title-meta/regen-dual,seo_title_meta_regen_dual,seo_tools.py,"seo_mod,db(BG)",seo_pages,seo_pages,"Codex+Claude,Haravan",Codex+Claude,_TITLE_META_SYSTEM_PROMPT,sintech_rules.py,write-local-DB+Haravan+BG,yes,production,MED,HIGH,
seo_tools,Title & Meta,/seo/title-meta,GET,seo_title_meta.html,Header,SEO-TM-RECRAWL,button,🔄 Re-crawl trang này,startRecrawl,/seo/title-meta/recrawl/start,seo_title_meta_recrawl_start,seo_tools.py,db(worker),seo_pages,"jobs,seo_pages",HTTP crawl,,,,write-local-DB+worker job,yes,production,low,HIGH,
seo_tools,Title & Meta,/seo/title-meta,GET,seo_title_meta.html,Row,SEO-TM-FIX,button,🔧 Auto-fix (1 SP),-,/seo/title-meta/fix,seo_title_meta_fix,seo_tools.py,"seo_mod,db",seo_pages,seo_pages,"Codex/Claude,Haravan",Codex/Claude,_TITLE_META_SYSTEM_PROMPT,sintech_rules.py,write-local-DB+Haravan,no,production,MED,HIGH,
seo_tools,Title & Meta,/seo/title-meta,GET,seo_title_meta.html,Sheet,SEO-TM-GENMAP,api/poll,gen-map (Sheet sync),-,/api/seo/title-meta/gen-map,seo_title_meta_gen_map,seo_tools.py,sheet_writer,,,Google Sheets,,,,write-external(Sheet),no,production,low,HIGH,
seo_tools,H1 trong mô tả,/seo/h1-in-desc,GET,seo_h1_in_desc.html,Header,SEO-H1-SCAN,button,🔍 Scan,-,/seo/h1-in-desc/scan,seo_h1_in_desc_scan,seo_tools.py,"seo_mod,db(BG)",seo_pages,seo_pages,HTTP/PSI,,,,write-local-DB+BG,no,production,low,HIGH,
seo_tools,H1 trong mô tả,/seo/h1-in-desc,GET,seo_h1_in_desc.html,Actions,SEO-H1-FIXALL,button,Fix all H1→H2,-,/seo/h1-in-desc/fix-all/start,seo_h1_fix_all_start,seo_tools.py,"seo_mod,db(BG)",seo_pages,seo_pages,Haravan(PUT body),,,,write-local-DB+Haravan+BG,yes,production,MED,HIGH,
seo_tools,CWV,/seo/cwv,GET,seo_cwv.html,Scanner,SEO-CWV-SCAN-ALL,button,🚀 Quét toàn bộ,startFullScan,/api/seo/cwv/scan/start-all,api_cwv_scan_start_all,seo_tools.py,cwv_mod(BG),"seo_pages,seo_cwv","seo_cwv,seo_cwv_history",PageSpeed Insights,,,,write-local-DB+BG job,no,production,low,HIGH,mobile→desktop chain+resume
seo_tools,CWV,/seo/cwv,GET,seo_cwv.html,Scanner,SEO-CWV-STOP,button,⏹ Dừng,stopScan,/api/seo/cwv/scan/stop,api_cwv_scan_stop,seo_tools.py,cwv_mod,,,,,,,signal stop (saves pass),no,production,low,HIGH,
seo_tools,CWV,/seo/cwv,GET,seo_cwv.html,LCP table,SEO-CWV-LCP-FILTER,select-filter,toggle M/D · page type · scope · opp,form GET,/seo/cwv,seo_cwv_page,seo_tools.py,db,"seo_cwv_lcp,seo_cwv",,,,,,read-only(no PSI),no,production,low,HIGH,reads seo_cwv_lcp only
seo_tools,Thiếu mô tả,/seo/empty-desc,GET,seo_empty_desc.html,Header,SEO-EMPTY-SCAN,button,🔍 Scan empty-desc,-,/seo/empty-desc/scan,seo_empty_desc_scan,seo_tools.py,"seo_mod,db(BG)",seo_pages,seo_pages,HTTP,,,,write-local-DB+BG,no,production,low,MEDIUM,
seo_tools,Coverage,/seo/coverage,GET,seo_coverage.html,Header,SEO-COV-SCAN,button,Scan collections,-,/seo/coverage/scan-collections,seo_coverage_scan_collections,seo_tools.py,haravan_client,,(cache file),Haravan Admin,,,,write-local cache,no,production,low,HIGH,
seo_tools,Search Console,/seo/gsc,GET,seo_gsc.html,Header,SEO-GSC-REFRESH,button,🔄 Refresh GSC,-,/seo/gsc/refresh,seo_gsc_refresh,seo_tools.py,subprocess,,(gsc cache),Google Sheets,,,,write-local cache,no,production,low,HIGH,
seo_tools,Schema,/seo/schema,GET,seo_schema.html,Row,SEO-SCHEMA-RESCAN,button,Rescan schema,-,/seo/schema/rescan/<id>,seo_schema_rescan,seo_tools.py,"schema_scanner,db",seo_pages,seo_pages,HTTP,,,,write-local-DB,no,production,low,MEDIUM,
haravan,Haravan Dashboard,/haravan,GET,haravan.html,Header,HV-SYNC-FULL,button,🚀 Sync toàn bộ,form submit,/haravan/sync,haravan_sync_start,haravan.py,"haravan_sync,db",haravan_products,"haravan_products,haravan_sync_runs",Haravan Admin,,,brands.json,write-local-DB,no,production,low,HIGH,
haravan,Haravan Dashboard,/haravan,GET,haravan.html,Header,HV-SYNC-INCREMENTAL,button,(incremental sync),-,/api/haravan/sync-incremental/start,haravan_sync_incremental_start,haravan.py,"haravan_sync,db",haravan_products,haravan_products,Haravan Admin,,,,write-local-DB,no,production,low,MEDIUM,
haravan,Haravan Dashboard,/haravan,GET,haravan.html,Header,HV-PRUNE-STALE,button,🧹 Dọn SP chết,pruneStale,/api/haravan/prune-stale,haravan_prune_stale,haravan.py,db,haravan_products,haravan_products(DELETE),Haravan Admin(count),,,,write-local-DB cleanup,yes,production,low,MEDIUM,dry-run then confirm
haravan,Haravan Products,/haravan/products,GET,haravan_products.html,Row,HV-PRODUCT-EDIT,button,Edit SP,-,/api/haravan/products/<id>/edit,api_haravan_product_edit,haravan.py,"haravan_client,db",haravan_products,haravan_products,Haravan Admin(PUT),,,,write-external(Haravan),yes(gate),production,MED gate,HIGH,"SEO meta OK, create blocked"
haravan,Haravan Blogs,/haravan/blogs,GET,haravan_blogs.html,Row,HV-BLOG-REWRITE,link/page,AI rewrite blog,-,/haravan/blogs/<id>/ai-rewrite,haravan_blog_ai_rewrite,haravan.py,db,seo_pages,,,,,,read-only(form prefill),no,production,low,HIGH,
system,Đối thủ,/competitors,GET,competitors.html,Header,COMP-CRAWL,button,🚀 Crawl đối thủ,form submit,/competitors/crawl,competitors_crawl,system.py,competitors_mod,,competitor_urls,HTTP crawl,,,,write-local-DB,no,production,low,HIGH,
content_pillar,Blog Pillars,/blog-pillars,GET,(pillar),Header,PILLAR-GEN,button,Generate pillar plan,-,/blog-pillars/generate,blog_pillars_generate,content_pillar.py,blog_pillar_writer(BG),"blog_pillars,blog_jobs","blog_pillars,blog_jobs",,Codex/Claude,,,write-local-DB+BG,no,production,low,HIGH,
