roadmap_id,cluster,priority,week,title,status,seo_score,impact,effort,target_url,deadline_publish
BLG-025,Phần mềm bản quyền,A2,8,Cài Office 2021 Cho Windows 11: Nên Dùng Bản Quyền Hay Bản Crack?,backlog,85.0,4,3,/collections/phan-mem-ban-quyen,2026-08-07
BLG-026,Phần mềm bản quyền,A2,8,AutoCAD 2021 Crack Có Nên Dùng Không? Rủi Ro Cho Cá Nhân Và Doanh Nghiệp,backlog,77.0,4,3,/collections/phan-mem-ban-quyen,2026-08-09
BLG-031,Dịch vụ Quận 7,A1,9,"Sửa Máy Tính Quận 7: Kiểm Tra, Cài Đặt, Nâng Cấp PC/Laptop Tại Sintech",backlog,94.0,5,3,/pages/sua-may-tinh-quan-7,2026-08-18
BLG-032,Dịch vụ Quận 7,A2,9,Sửa Laptop Quận 7: Khi Nào Nên Mang Máy Đi Kiểm Tra?,backlog,85.0,4,3,/pages/sua-laptop-quan-7,2026-08-19
BLG-028,Phần mềm bản quyền,B,9,AutoCAD 2021 Cần Cấu Hình Máy Tính Như Thế Nào Để Chạy Mượt?,backlog,82.0,4,4,/pages/xay-dung-cau-hinh,2026-08-14
BLG-029,Phần mềm bản quyền,B,9,Adobe Acrobat Crack Có An Toàn Không? Rủi Ro Khi Xử Lý File PDF,backlog,60.0,3,3,/collections/phan-mem-ban-quyen,2026-08-16
BLG-033,Dịch vụ Quận 7,A2,10,Vệ Sinh Laptop Quận 7: Bao Lâu Nên Vệ Sinh Và Thay Keo Tản Nhiệt?,backlog,88.0,4,2,/pages/ve-sinh-laptop,2026-08-23
BLG-034,Dịch vụ Quận 7,A2,10,Vệ Sinh PC Tại Quận 7: Dấu Hiệu Máy Cần Bảo Dưỡng Ngay,backlog,88.0,4,2,/pages/ve-sinh-pc-tai-cua-hang,2026-08-25
BLG-035,Dịch vụ Quận 7,B,10,Cài Windows Và Phần Mềm Tại Quận 7: Khi Nào Nên Cài Lại Máy?,backlog,85.0,4,3,/pages/cai-dat-windows-phan-mem,2026-08-26
BLG-030,Phần mềm bản quyền,C,10,CorelDRAW 2019/2021 Crack Có Nên Dùng Không? Rủi Ro Và Lựa Chọn Hợp Lệ,backlog,51.0,2,3,/collections/phan-mem-ban-quyen,2026-08-21
BLG-036,Kỹ thuật/Gaming hỗ trợ,B,11,Máy Tính Bị Rò Điện Có Nguy Hiểm Không? Nguyên Nhân Và Cách Xử Lý,backlog,71.0,3,2,/pages/sua-may-tinh-quan-7,2026-08-28
BLG-037,Kỹ thuật/Gaming hỗ trợ,B,11,CS2 Là Gì? Cấu Hình Chơi Counter-Strike 2 Mượt Trên PC,backlog,68.0,3,3,/pages/xay-dung-cau-hinh,2026-08-30
BLG-038,Kỹ thuật/Gaming hỗ trợ,B,11,"Cấu Hình Chơi Palworld Trên PC: Tối Thiểu, Đề Nghị Và Gợi Ý Nâng Cấp",backlog,68.0,3,3,/pages/xay-dung-cau-hinh,2026-09-01
BLG-040,Dịch vụ Quận 7,B,12,"Thu Mua PC Cũ TPHCM: Quy Trình Kiểm Tra, Định Giá Và Nâng Cấp Lại Máy",backlog,85.0,4,3,/pages/thu-mua-pc-cu,2026-09-06
BLG-039,Kỹ thuật/Gaming hỗ trợ,C,12,ZZZ Bao Nhiêu GB Trên PC? Cấu Hình Chơi Zenless Zone Zero Mượt,backlog,54.0,2,2,/pages/xay-dung-cau-hinh,2026-09-04
