roadmap_id,internal_links_old
BLG-009,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""build PC văn phòng"", ""target"": ""/pages/xay-dung-cau-hinh"", ""purpose"": ""Đẩy target chính"", ""priority"": ""A2""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""cấu hình PC theo ngân sách"", ""target"": ""/blogs/huong-dan/build-pc-gaming-theo-ngan-sach"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""A2""}]"
BLG-010,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""build PC đồ họa"", ""target"": ""/pages/xay-dung-cau-hinh"", ""purpose"": ""Đẩy target chính"", ""priority"": ""A2""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""cấu hình PC theo ngân sách"", ""target"": ""/blogs/huong-dan/build-pc-gaming-theo-ngan-sach"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""A2""}]"
BLG-014,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""SSD NVMe cũ"", ""target"": ""/collections/ssd-cu"", ""purpose"": ""Đẩy target chính"", ""priority"": ""A2""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""sản phẩm đang có hàng"", ""target"": ""/collections/ssd-cu"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""A2""}]"
BLG-016,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""RTX 3060 cũ"", ""target"": ""/collections/vga-cu"", ""purpose"": ""Đẩy target chính"", ""priority"": ""A1""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""sản phẩm đang có hàng"", ""target"": ""/collections/vga-cu"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""A1""}]"
BLG-018,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""test VGA cũ"", ""target"": ""/collections/vga-cu"", ""purpose"": ""Đẩy target chính"", ""priority"": ""A1""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""sản phẩm đang có hàng"", ""target"": ""/collections/vga-cu"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""A1""}]"
BLG-017,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""RTX 4070 cũ"", ""target"": ""/collections/vga-cu"", ""purpose"": ""Đẩy target chính"", ""priority"": ""A2""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""sản phẩm đang có hàng"", ""target"": ""/collections/vga-cu"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""A2""}]"
BLG-011,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""build PC AI"", ""target"": ""/pages/xay-dung-cau-hinh"", ""purpose"": ""Đẩy target chính"", ""priority"": ""B""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""cấu hình PC theo ngân sách"", ""target"": ""/blogs/huong-dan/build-pc-gaming-theo-ngan-sach"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""B""}]"
BLG-012,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""build PC chơi game 2K"", ""target"": ""/pages/xay-dung-cau-hinh"", ""purpose"": ""Đẩy target chính"", ""priority"": ""B""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""cấu hình PC theo ngân sách"", ""target"": ""/blogs/huong-dan/build-pc-gaming-theo-ngan-sach"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""B""}]"
BLG-019,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""linh kiện PC cũ TPHCM"", ""target"": ""/collections/linh-kien-pc-cu"", ""purpose"": ""Đẩy target chính"", ""priority"": ""A2""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""linh kiện PC cũ đã test"", ""target"": ""/collections/linh-kien-pc-cu"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""A2""}]"
BLG-020,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""CPU cũ"", ""target"": ""/collections/cpu-cu"", ""purpose"": ""Đẩy target chính"", ""priority"": ""B""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""sản phẩm đang có hàng"", ""target"": ""/collections/linh-kien-pc-cu"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""B""}]"
BLG-021,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""thu mua linh kiện PC cũ"", ""target"": ""/pages/thu-mua-linh-kien-pc-cu"", ""purpose"": ""Đẩy target chính"", ""priority"": ""B""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""linh kiện PC cũ đã test"", ""target"": ""/collections/linh-kien-pc-cu"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""B""}]"
BLG-023,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""Office 2021 bản quyền"", ""target"": ""/collections/phan-mem-ban-quyen"", ""purpose"": ""Đẩy target chính"", ""priority"": ""A1""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""phần mềm bản quyền tại Sintech"", ""target"": ""/collections/phan-mem-ban-quyen"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""A1""}]"
BLG-024,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""Office bản quyền"", ""target"": ""/collections/phan-mem-ban-quyen"", ""purpose"": ""Đẩy target chính"", ""priority"": ""A2""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""phần mềm bản quyền tại Sintech"", ""target"": ""/collections/phan-mem-ban-quyen"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""A2""}]"
BLG-022,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""main X99 cũ"", ""target"": ""/collections/mainboard-cu"", ""purpose"": ""Đẩy target chính"", ""priority"": ""B""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""sản phẩm đang có hàng"", ""target"": ""/collections/linh-kien-pc-cu"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""B""}]"
BLG-027,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""cài đặt AutoCAD 2021"", ""target"": ""/collections/phan-mem-ban-quyen"", ""purpose"": ""Đẩy target chính"", ""priority"": ""A1""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""phần mềm bản quyền tại Sintech"", ""target"": ""/collections/phan-mem-ban-quyen"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""A1""}]"
BLG-025,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""cài Office 2021"", ""target"": ""/collections/phan-mem-ban-quyen"", ""purpose"": ""Đẩy target chính"", ""priority"": ""A2""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""phần mềm bản quyền tại Sintech"", ""target"": ""/collections/phan-mem-ban-quyen"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""A2""}]"
BLG-026,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""AutoCAD bản quyền"", ""target"": ""/collections/phan-mem-ban-quyen"", ""purpose"": ""Đẩy target chính"", ""priority"": ""A2""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""phần mềm bản quyền tại Sintech"", ""target"": ""/collections/phan-mem-ban-quyen"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""A2""}]"
BLG-031,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""sửa máy tính Quận 7"", ""target"": ""/pages/sua-may-tinh-quan-7"", ""purpose"": ""Đẩy target chính"", ""priority"": ""A1""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""liên hệ Sintech Quận 7"", ""target"": ""/pages/lien-he"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""A1""}]"
BLG-032,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""sửa laptop Quận 7"", ""target"": ""/pages/sua-laptop-quan-7"", ""purpose"": ""Đẩy target chính"", ""priority"": ""A2""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""liên hệ Sintech Quận 7"", ""target"": ""/pages/lien-he"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""A2""}]"
BLG-028,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""cấu hình máy tính chạy AutoCAD"", ""target"": ""/pages/xay-dung-cau-hinh"", ""purpose"": ""Đẩy target chính"", ""priority"": ""B""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""phần mềm bản quyền tại Sintech"", ""target"": ""/collections/phan-mem-ban-quyen"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""B""}]"
BLG-029,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""Adobe Acrobat bản quyền"", ""target"": ""/collections/phan-mem-ban-quyen"", ""purpose"": ""Đẩy target chính"", ""priority"": ""B""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""phần mềm bản quyền tại Sintech"", ""target"": ""/collections/phan-mem-ban-quyen"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""B""}]"
BLG-033,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""vệ sinh laptop Quận 7"", ""target"": ""/pages/ve-sinh-laptop"", ""purpose"": ""Đẩy target chính"", ""priority"": ""A2""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""liên hệ Sintech Quận 7"", ""target"": ""/pages/lien-he"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""A2""}]"
BLG-034,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""vệ sinh PC Quận 7"", ""target"": ""/pages/ve-sinh-pc-tai-cua-hang"", ""purpose"": ""Đẩy target chính"", ""priority"": ""A2""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""liên hệ Sintech Quận 7"", ""target"": ""/pages/lien-he"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""A2""}]"
BLG-035,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""cài Windows Quận 7"", ""target"": ""/pages/cai-dat-windows-phan-mem"", ""purpose"": ""Đẩy target chính"", ""priority"": ""B""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""liên hệ Sintech Quận 7"", ""target"": ""/pages/lien-he"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""B""}]"
BLG-030,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""CorelDRAW bản quyền"", ""target"": ""/collections/phan-mem-ban-quyen"", ""purpose"": ""Đẩy target chính"", ""priority"": ""C""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""phần mềm bản quyền tại Sintech"", ""target"": ""/collections/phan-mem-ban-quyen"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""C""}]"
BLG-036,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""sửa máy tính Quận 7"", ""target"": ""/pages/sua-may-tinh-quan-7"", ""purpose"": ""Đẩy target chính"", ""priority"": ""B""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""build PC gaming"", ""target"": ""/pages/xay-dung-cau-hinh"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""B""}]"
BLG-037,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""build PC chơi CS2"", ""target"": ""/pages/xay-dung-cau-hinh"", ""purpose"": ""Đẩy target chính"", ""priority"": ""B""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""build PC gaming"", ""target"": ""/pages/xay-dung-cau-hinh"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""B""}]"
BLG-038,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""cấu hình chơi Palworld"", ""target"": ""/pages/xay-dung-cau-hinh"", ""purpose"": ""Đẩy target chính"", ""priority"": ""B""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""build PC gaming"", ""target"": ""/pages/xay-dung-cau-hinh"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""B""}]"
BLG-040,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""thu mua PC cũ TPHCM"", ""target"": ""/pages/thu-mua-pc-cu"", ""purpose"": ""Đẩy target chính"", ""priority"": ""B""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""liên hệ Sintech Quận 7"", ""target"": ""/pages/lien-he"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""B""}]"
BLG-039,"[{""placement"": ""Đoạn mở bài hoặc sau H2 đầu"", ""anchor"": ""cấu hình chơi ZZZ"", ""target"": ""/pages/xay-dung-cau-hinh"", ""purpose"": ""Đẩy target chính"", ""priority"": ""C""}, {""placement"": ""Giữa bài hoặc CTA cuối"", ""anchor"": ""build PC gaming"", ""target"": ""/pages/xay-dung-cau-hinh"", ""purpose"": ""Tạo mạng liên kết nội bộ hỗ trợ topical authority"", ""priority"": ""C""}]"
