rank,article_id,title,url,gsc_clicks,ga4_sessions,m_perf,m_lcp,m_cls,ttfb,image_count,hero_bytes,primary_issue,secondary_issue,tier,owner,fix,expected_impact,rewritten_ai_live
14,1002277948,Giới thiệu về công ty máy tính Sintech,https://sintech.vn/blogs/news/gioi-thieu-ve-cong-ty-may-tinh-sintech,1,1,46,12493,0.2718,,1,82651,BODY_HTML_LEGACY,CLS_LAYOUT_RISK,P1,CONTENT,"Clean HTML cũ (font/inline-style/mso), dựng lại block",Cải thiện tốc độ tải bài,False
15,1002601884,"Intel ra mắt CPU Core Ultra 300 (Panther Lake) năm 2026, sản xuất hàng loạt từ cuối 2025",https://sintech.vn/blogs/news/intel-ra-mat-cpu-core-ultra-300-panther-lake-nam-2026-san-xuat-hang,1,1,47,15154,0.1828,,2,0,BODY_HTML_LEGACY,CLS_LAYOUT_RISK,P1,CONTENT,"Clean HTML cũ (font/inline-style/mso), dựng lại block",Cải thiện tốc độ tải bài,False
16,1002600742,"AMD chuẩn bị ra mắt Radeon RX 9070 GRE với hiệu năng mạnh, giá cạnh tranh hơn",https://sintech.vn/blogs/news/amd-chuan-bi-ra-mat-radeon-rx-9070-gre-voi-hieu-nang-manh-gia-canh-tr,1,1,54,14227,0.216,,2,289069,BODY_HTML_LEGACY,CLS_LAYOUT_RISK,P1,CONTENT,"Clean HTML cũ (font/inline-style/mso), dựng lại block",Cải thiện tốc độ tải bài,False
17,1002420376,"Bật mí cách gắn quạt tản nhiệt cho PC trong 5 bước đơn giản, nhanh chóng",https://sintech.vn/blogs/news/bat-mi-cach-gan-quat-tan-nhiet-cho-pc-trong-5-buoc-don-gian-nhanh-cho,0,3,39,12594,0.7668,,5,74318,IMAGES_MISSING_DIMENSIONS,IMAGES_MISSING_LAZYLOAD,P0,THEME_CODE,Thêm width/height để chống CLS,"Giảm CLS, ổn định layout",False
18,1002414345,Cách khắc phục lỗi Command Prompt tự mở trên Windows,https://sintech.vn/blogs/news/cach-khac-phuc-loi-command-prompt-tu-mo-tren-windows,0,3,34,8704,0.792,,0,0,CLS_LAYOUT_RISK,,P0,THEME_CODE,"Khai báo kích thước ảnh, reserve khung","Giảm CLS, ổn định layout",True
19,1002411453,Bảng mã lỗi Mainboard Huananzhi x99,https://sintech.vn/blogs/news/bang-ma-loi-mainboard-huananzhi-x99,0,2,36,10122,1.0432,,0,0,CLS_LAYOUT_RISK,,P1,THEME_CODE,"Khai báo kích thước ảnh, reserve khung","Giảm CLS, ổn định layout",False
20,1002746933,So sánh RAM DDR4 vs DDR5 đáng mua năm 2025: nên chọn loại nào?,https://sintech.vn/blogs/huong-dan/so-sanh-ram-ddr4-vs-ddr5-dang-mua-nam-2025-nen-chon-loai-nao,0,1,50,15893,0.1347,,3,933545,HERO_IMAGE_TOO_HEAVY,INLINE_IMAGES_TOO_HEAVY,P1,IMAGE,Resize hero về 600x338 / nén WebP <120KB,Giảm LCP/byte ảnh đáng kể,False
21,1002758362,DLSS 4 là gì? Cách bật DLSS 4 trên card NVIDIA,https://sintech.vn/blogs/huong-dan/dlss-4-la-gi-cach-bat-dlss-4-tren-card-nvidia,1,0,43,12594,0.4142,,8,256669,BODY_HTML_LEGACY,IMAGES_MISSING_DIMENSIONS,P1,CONTENT,"Clean HTML cũ (font/inline-style/mso), dựng lại block",Cải thiện tốc độ tải bài,False
22,1002430893,Cách khôi phục file đã xóa trên Windows 11 trong tích tắc,https://sintech.vn/blogs/news/cach-khoi-phuc-file-da-xoa-tren-windows-11-trong-tich-tac,1,0,42,10200,0.4134,,12,15824,IMAGES_MISSING_DIMENSIONS,IMAGES_MISSING_LAZYLOAD,P1,THEME_CODE,Thêm width/height để chống CLS,"Giảm CLS, ổn định layout",False
23,1002423345,Visual Studio Code là gì? Các tính năng nổi bật của Visual Studio Code,https://sintech.vn/blogs/news/visual-studio-code-la-gi-cac-tinh-nang-noi-bat-cua-visual-studio-code,1,1,22,8689,0.2944,,0,0,CLS_LAYOUT_RISK,,P1,THEME_CODE,"Khai báo kích thước ảnh, reserve khung","Giảm CLS, ổn định layout",True
24,1002399833,"Cấu hình chơi Naraka: Bladepoint Trên PC, Laptop",https://sintech.vn/blogs/news/cau-hinh-choi-naraka-bladepoint-tren-pc-laptop,1,1,38,9972,0.4103,,7,44933,IMAGES_MISSING_LAZYLOAD,CLS_LAYOUT_RISK,P1,THEME_CODE,Thêm loading=lazy cho ảnh dưới fold (trừ hero),Cải thiện tốc độ tải bài,False
25,1002404222,Tổng hợp những kiến thức quan trọng về CPU của Intel,https://sintech.vn/blogs/news/tong-hop-nhung-kien-thuc-quan-trong-ve-cpu-cua-intel,2,1,50,4289,0.585,,0,0,CLS_LAYOUT_RISK,,P1,THEME_CODE,"Khai báo kích thước ảnh, reserve khung","Giảm CLS, ổn định layout",True
26,1002398522,"Trung tâm sửa laptop - máy tính uy tín, lấy ngay ở Quận 7",https://sintech.vn/blogs/news/trung-tam-sua-laptop-uy-tin-lay-ngay-o-quan-7,0,1,37,16578,1.1105,,11,394648,IMAGES_BROKEN,HERO_IMAGE_TOO_HEAVY,P1,IMAGE,Thay ảnh chết / re-host,Cải thiện tốc độ tải bài,False
27,1002728484,Keo tản nhiệt kim loại lỏng là gì? Có nên dùng không?,https://sintech.vn/blogs/huong-dan/keo-tan-nhiet-kim-loai-long-la-gi-co-nen-dung-khong,0,1,39,12971,0.5614,,1,218363,BODY_HTML_LEGACY,CLS_LAYOUT_RISK,P1,CONTENT,"Clean HTML cũ (font/inline-style/mso), dựng lại block",Cải thiện tốc độ tải bài,True
28,1002423381,CUDA Core là gì? Vai trò của CUDA trong GPU đồ họa NVIDIA,https://sintech.vn/blogs/news/cuda-core-la-gi-vai-tro-cua-cuda-trong-gpu-do-hoa-nvidia,0,1,43,13108,0.2386,,3,63342,CLS_LAYOUT_RISK,,P1,THEME_CODE,"Khai báo kích thước ảnh, reserve khung","Giảm CLS, ổn định layout",False
29,1002793749,Giảm tiếng ồn quạt PC: Nguyên nhân & cách khắc phục hiệu quả (2025),https://sintech.vn/blogs/huong-dan/giam-tieng-on-quat-pc-nguyen-nhan-cach-khac-phuc-hieu-qua-2025,0,1,41,8921,0.7575,,6,253649,INLINE_IMAGES_TOO_HEAVY,BODY_HTML_LEGACY,P1,IMAGE,"Nén/resize ảnh inline, bỏ ảnh >300KB",Giảm LCP/byte ảnh đáng kể,False
30,1002767311,CORSAIR Ra Mắt WS3000 – Bộ Nguồn 3000W ATX 3.1 Cho Máy Trạm Hiệu Năng Cao,https://sintech.vn/blogs/huong-dan/corsair-ra-mat-ws3000-bo-nguon-3000w-atx-3-1-cho-may-tram-hieu-nang,0,1,36,13735,0.932,,4,359653,HERO_IMAGE_TOO_HEAVY,BODY_HTML_LEGACY,P1,IMAGE,Resize hero về 600x338 / nén WebP <120KB,Giảm LCP/byte ảnh đáng kể,False
