rank,article_id,title,url,tier,primary_issue,secondary_issue,action,gsc_clicks,ga4_sessions
25,1002814775,Kiểm Tra Tốc Độ Mạng: Làm Sao Biết Đường Truyền Của Bạn Có Thực Sự Nhanh?,https://sintech.vn/blogs/huong-dan/kiem-tra-toc-do-mang-lam-sao-biet-duong-truyen-cua-ban-co-thuc-su-nha,P1,BODY_HTML_LEGACY,IMAGES_MISSING_DIMENSIONS,clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold,0,1
26,1002726483,Tự build PC là làm gì? Tại sao phải tự chọn cấu hình?,https://sintech.vn/blogs/huong-dan/tu-build-pc-la-lam-gi-tai-sao-phai-tu-chon-cau-hinh,P2,HERO_IMAGE_TOO_HEAVY,INLINE_IMAGES_TOO_HEAVY,resize/nén hero + nén ảnh >300KB + clean HTML cũ + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
27,1002767147,So sánh 3 VGA tầm giá 5–7 triệu: RTX 3050 vs RTX 3060 vs RX 6600 – card nào đáng mua cho eSports?,https://sintech.vn/blogs/huong-dan/so-sanh-3-vga-tam-gia-5-7-trieu-rtx-3050-vs-rtx-3060-vs-rx-6600-car,P1,HERO_IMAGE_TOO_HEAVY,BODY_HTML_LEGACY,resize/nén hero + nén ảnh >300KB + clean HTML cũ,0,1
28,1002731020,Cách giảm ping khi chơi game hiệu quả và ổn định,https://sintech.vn/blogs/huong-dan/cach-giam-ping-khi-choi-game-hieu-qua-va-on-dinh,P1,BODY_HTML_LEGACY,IMAGES_MISSING_DIMENSIONS,clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold,0,1
29,1002989383,Build PC gaming 2026 theo ngân sách 15-40 triệu,https://sintech.vn/blogs/huong-dan/build-pc-gaming-2026-theo-ngan-sach-15-20-30-40-trieu-nen-chon-cau-hinh-nao,P2,HERO_IMAGE_TOO_HEAVY,INLINE_IMAGES_TOO_HEAVY,resize/nén hero + nén ảnh >300KB + clean HTML cũ + thêm width/height,0,0
30,1002423407,Tìm hiểu về ép xung: Phương pháp tăng tốc độ và sức mạnh của PC có thật sự an toàn và hiệu quả?,https://sintech.vn/blogs/news/tim-hieu-ve-ep-xung-phuong-phap-tang-toc-do-va-suc-manh-cua-pc-co-tha,P2,HERO_IMAGE_TOO_HEAVY,INLINE_IMAGES_TOO_HEAVY,resize/nén hero + nén ảnh >300KB + thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
31,1002726607,Tại sao quạt máy tính kêu to? Nguyên nhân và cách xử lý,https://sintech.vn/blogs/huong-dan/tai-sao-quat-may-tinh-keu-to-nguyen-nhan-va-cach-xu-ly,P2,HERO_IMAGE_TOO_HEAVY,INLINE_IMAGES_TOO_HEAVY,resize/nén hero + nén ảnh >300KB + clean HTML cũ + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
32,1002748952,Cấp cứu laptop dính nước: Làm gì ngay lập tức để cứu máy?,https://sintech.vn/blogs/huong-dan/cap-cuu-laptop-dinh-nuoc-lam-gi-ngay-lap-tuc-de-cuu-may,P2,HERO_IMAGE_TOO_HEAVY,INLINE_IMAGES_TOO_HEAVY,resize/nén hero + nén ảnh >300KB + clean HTML cũ + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
33,1002750990,HKC Ant Esports ra mắt ANT275PQ Max: Màn hình IPS QHD nhanh nhất thế giới với tần số quét lên đến 540Hz,https://sintech.vn/blogs/news/hkc-ant-esports-ra-mat-ant275pq-max-man-hinh-ips-qhd-nhanh-nhat-the-g,P2,HERO_IMAGE_TOO_HEAVY,INLINE_IMAGES_TOO_HEAVY,resize/nén hero + nén ảnh >300KB + clean HTML cũ + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
34,1002719721,List 5 phim chiếu rạp hay đáng xem nhất tháng 8/2025,https://sintech.vn/blogs/news/list-5-phim-chieu-rap-hay-dang-xem-nhat-thang-8-2025,P2,HERO_IMAGE_TOO_HEAVY,INLINE_IMAGES_TOO_HEAVY,resize/nén hero + nén ảnh >300KB + clean HTML cũ + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
35,1002539161,Sửa Chữa Laptop Uy Tín Tại TPHCM,https://sintech.vn/blogs/huong-dan/dich-vu-sua-chua-laptop-uy-tin-tai-tphcm-sintech,P1,IMAGES_MISSING_DIMENSIONS,IMAGES_MISSING_LAZYLOAD,thêm width/height + lazy-load ảnh dưới fold,1,0
36,1002420350,Phân biệt Nvidia Super và Ti: Nên mua loại card Nvidia nào cho phù hợp?,https://sintech.vn/blogs/news/phan-biet-nvidia-super-va-ti-nen-mua-loai-card-nvidia-nao-cho-phu-hop,P1,IMAGES_MISSING_DIMENSIONS,CLS_LAYOUT_RISK,thêm width/height + gỡ/thay ảnh external,0,1
37,1002594736,Lộ Diện GeForce RTX 5060 & 5050 Laptop: ASUS Xác Nhận Cả Hai Đều Dùng 8GB GDDR7,https://sintech.vn/blogs/news/lo-dien-geforce-rtx-5060-5050-laptop-asus-xac-nhan-ca-hai-deu-dung,P2,BODY_HTML_LEGACY,IMAGES_MISSING_DIMENSIONS,clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
38,1002400105,"Cấu hình chơi Elden Ring Trên PC, Laptop",https://sintech.vn/blogs/news/cau-hinh-choi-elden-ring-online-4-tren-pc-laptop,P2,IMAGES_BROKEN,CLS_LAYOUT_RISK,thay ảnh chết + gỡ/thay ảnh external,0,0
39,1002399781,"Cấu hình chơi PUBG - PlayerUnknown’s Battlegrounds trên PC, Laptop",https://sintech.vn/blogs/news/cau-hinh-choi-pubg-playerunknown-s-battlegrounds-tren-pc-laptop,P2,IMAGES_BROKEN,IMAGES_MISSING_LAZYLOAD,thay ảnh chết + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
40,1002541111,"Sửa Máy Tính Quận 2 Chất Lượng, Nhanh Chóng tại Sintech",https://sintech.vn/blogs/news/sua-may-tinh-quan-2-chat-luong-nhanh-chong-tai-sintech,P2,IMAGES_BROKEN,INLINE_IMAGES_TOO_HEAVY,thay ảnh chết + nén ảnh >300KB + clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
41,1002413939,"[IFA 2024] Có gì tại gian trưng bày của Samsung: đồ gì cũng tích hợp AI, rồi có cả màn hình 3D không cần kính!",https://sintech.vn/blogs/news/ifa-2024-co-gi-tai-gian-trung-bay-cua-samsung-do-gi-cung-tich-hop-a,P2,HERO_IMAGE_TOO_HEAVY,INLINE_IMAGES_TOO_HEAVY,resize/nén hero + nén ảnh >300KB + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
42,1002758490,BUILD PC GAMING CPU HAY GPU QUAN TRỌNG HƠN,https://sintech.vn/blogs/huong-dan/build-pc-gaming-cpu-hay-gpu-quan-trong-hon,P2,INLINE_IMAGES_TOO_HEAVY,BODY_HTML_LEGACY,nén ảnh >300KB + clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold,0,0
43,1002594907,"AMD Radeon RX 9050 ""lộ diện"" tình cờ trên trang cửa hàng điện tử bán lẻ – GPU RDNA 4 giá rẻ sắp ra mắt?",https://sintech.vn/blogs/news/amd-radeon-rx-9050-lo-dien-tinh-co-tren-trang-cua-hang-dien-tu-ban-l,P2,BODY_HTML_LEGACY,CLS_LAYOUT_RISK,clean HTML cũ + gỡ/thay ảnh external,0,0
44,1002413909,"""Cuộc chiến"" AI trong tiêu dùng: MoMo, Long Châu, DOJI, Samsung, Cake by VPBank đang làm gì để dẫn đầu?",https://sintech.vn/blogs/news/cuoc-chien-ai-trong-tieu-dung-momo-long-chau-doji-samsung-cake,P2,HERO_IMAGE_TOO_HEAVY,INLINE_IMAGES_TOO_HEAVY,resize/nén hero + nén ảnh >300KB + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
45,1002535931,"RTX 5060 & RTX 5060 Ti: ""Quái vật"" tầm trung khuấy đảo thị trường năm 2025?",https://sintech.vn/blogs/news/rtx-5060-rtx-5060-ti-quai-vat-tam-trung-khuay-dao-thi-truong-nam,P2,HERO_IMAGE_TOO_HEAVY,BODY_HTML_LEGACY,resize/nén hero + nén ảnh >300KB + clean HTML cũ + gỡ/thay ảnh external,0,0
46,1002600836,Intel Gaudi 3 Chính Thức Có Mặt Trên IBM Cloud – Hiệu Suất Vượt NVIDIA H100 & H200!!,https://sintech.vn/blogs/news/intel-gaudi-3-chinh-thuc-co-mat-tren-ibm-cloud-hieu-suat-vuot-nvidia,P3,CLS_LAYOUT_RISK,,gỡ/thay ảnh external,0,0
47,1002540829,Sửa Máy Tính Quận 1 Uy Tín Tại Sintech,https://sintech.vn/blogs/news/sua-may-tinh-quan-1-uy-tin-tai-sintech,P2,IMAGES_BROKEN,INLINE_IMAGES_TOO_HEAVY,thay ảnh chết + nén ảnh >300KB + clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
48,1002989389,Office 2021 bản quyền khác gì Office crack khi làm việc,https://sintech.vn/blogs/huong-dan/office-2021-ban-quyen-khac-gi-office-crack-khi-dung-cho-cong-viec-hang-ngay,P2,HERO_IMAGE_TOO_HEAVY,INLINE_IMAGES_TOO_HEAVY,resize/nén hero + nén ảnh >300KB + clean HTML cũ + thêm width/height,0,0
49,1002769673,AMD Radeon RX 7700 (Non-XT) Ra Mắt Âm Thầm Với 16GB VRAM – GPU RDNA 3 Mới,https://sintech.vn/blogs/huong-dan/amd-radeon-rx-7700-non-xt-ra-mat-am-tham-voi-16gb-vram-gpu-rdna-3,P2,BODY_HTML_LEGACY,CLS_LAYOUT_RISK,clean HTML cũ,0,0
50,1002746718,List Phim Chiếu Rạp Hay Nhất Tháng 9/2025,https://sintech.vn/blogs/news/list-phim-chieu-rap-hay-nhat-thang-9-2025,P2,HERO_IMAGE_TOO_HEAVY,INLINE_IMAGES_TOO_HEAVY,resize/nén hero + nén ảnh >300KB + clean HTML cũ + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
51,1002404003,Ưu và nhược điểm của các loại màn hình máy tính phổ biến hiện nay,https://sintech.vn/blogs/news/uu-va-nhuoc-diem-cua-cac-loai-man-hinh-may-tinh-pho-bien-hien-nay,P2,IMAGES_BROKEN,IMAGES_MISSING_DIMENSIONS,thay ảnh chết + thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
52,1002414328,So sánh tản nhiệt nước và tản nhiệt khí: Nên lựa chọn bộ tản nhiệt nào?,https://sintech.vn/blogs/news/so-sanh-tan-nhiet-nuoc-va-tan-nhiet-khi-nen-lua-chon-bo-tan-nhiet-nao,P2,INLINE_IMAGES_TOO_HEAVY,IMAGES_MISSING_DIMENSIONS,nén ảnh >300KB + thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
53,1002544979,MSI GeForce RTX 5080 SUPRIM SOC 16GB – Bùng Nổ Hiệu Năng Với Thiết Kế Choáng Ngợp!,https://sintech.vn/blogs/news/msi-geforce-rtx-5080-suprim-soc-bung-no-hieu-nang-voi-thiet-ke-choan,P2,BODY_HTML_LEGACY,IMAGES_MISSING_DIMENSIONS,nén ảnh >300KB + clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
54,1002750229,Copilot+ PC là gì? Có nên nâng cấp trong kỷ nguyên AI?,https://sintech.vn/blogs/news/copilot-pc-la-gi-co-nen-nang-cap-trong-ky-nguyen-ai,P2,HERO_IMAGE_TOO_HEAVY,INLINE_IMAGES_TOO_HEAVY,resize/nén hero + nén ảnh >300KB + clean HTML cũ + gỡ/thay ảnh external,0,0
55,1002402678,Top màn hình máy tính để bàn giá rẻ năm 2024,https://sintech.vn/blogs/news/top-man-hinh-may-tinh-de-ban-gia-re-nam-2024,P2,HERO_IMAGE_TOO_HEAVY,INLINE_IMAGES_TOO_HEAVY,resize/nén hero + nén ảnh >300KB + thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
56,1002423421,Hướng dẫn cách lắp và vệ sinh RAM đúng cách,https://sintech.vn/blogs/news/huong-dan-cach-lap-va-ve-sinh-ram-dung-cach,P2,IMAGES_BROKEN,IMAGES_MISSING_DIMENSIONS,thay ảnh chết + thêm width/height + lazy-load ảnh dưới fold,0,0
57,1002787456,Top 5 Bàn Phím Cơ Giá Tốt Dưới 1 Triệu Đáng Mua 2025 – Dễ Mua Tại Quận 7,https://sintech.vn/blogs/huong-dan/top-5-ban-phim-co-gia-tot-duoi-1-trieu-dang-mua-2025-de-mua-tai-quan,P2,HERO_IMAGE_TOO_HEAVY,INLINE_IMAGES_TOO_HEAVY,resize/nén hero + nén ảnh >300KB + clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold,0,0
58,1002755399,"BUILD PC 15–20 triệu chơi Liên Minh, Valorant, FO4 mượt 1080p: Build thế nào hợp lý?",https://sintech.vn/blogs/huong-dan/build-pc-15-20-trieu-choi-lien-minh-valorant-fo4-muot-1080p-build-t,P2,HERO_IMAGE_TOO_HEAVY,INLINE_IMAGES_TOO_HEAVY,resize/nén hero + nén ảnh >300KB + clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold,0,0
59,1002549397,"Sửa Máy Tính Quận 6 Chuyên Nghiệp, Nhanh Chóng tại Sintech",https://sintech.vn/blogs/huong-dan/sua-may-tinh-quan-6-chuyen-nghiep-nhanh-chong-tai-sintech,P2,IMAGES_BROKEN,BODY_HTML_LEGACY,thay ảnh chết + nén ảnh >300KB + clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
60,1002413916,"Vừa ra mắt, iPhone 16 Series đã lọt vào danh sách đề cử Better Choice Awards 2024",https://sintech.vn/blogs/news/vua-ra-mat-iphone-16-series-da-lot-vao-danh-sach-de-cu-better-choice,P2,INLINE_IMAGES_TOO_HEAVY,IMAGES_MISSING_LAZYLOAD,nén ảnh >300KB + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
61,1002399869,"Cấu hình chơi FIFA Online 4 Trên PC, Laptop",https://sintech.vn/blogs/news/cau-hinh-choi-fifa-online-4-tren-pc-laptop,P2,HERO_IMAGE_TOO_HEAVY,IMAGES_MISSING_DIMENSIONS,resize/nén hero + nén ảnh >300KB + thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
62,1002778590,Máy Tính Tự Tắt Nguồn: Nguyên Nhân Và Cách Xử Lý Tại Nhà,https://sintech.vn/blogs/huong-dan/may-tinh-tu-tat-nguon-nguyen-nhan-va-cach-xu-ly-tai-nha,P2,BODY_HTML_LEGACY,CLS_LAYOUT_RISK,nén ảnh >300KB + clean HTML cũ,0,0
63,1002411455,Bảng mã lỗi Mainboard Huananzhi x79,https://sintech.vn/blogs/news/bang-ma-loi-mainboard-huananzhi-x79,P2,BODY_HTML_LEGACY,DOM_TOO_LARGE,clean HTML cũ,0,0
64,1002533590,Dòng card đồ họa NVIDIA RTX 50 có mức giá khởi điểm từ 549 USD.,https://sintech.vn/blogs/news/dong-card-do-hoa-nvidia-rtx-50-co-muc-gia-khoi-diem-tu-549-usd,P3,CLS_LAYOUT_RISK,,gỡ/thay ảnh external,0,0
65,1002358519,Cấu hình tối thiểu chơi Liên Minh Huyền Thoại LOL mượt giá sinh viên,https://sintech.vn/blogs/news/cau-hinh-toi-thieu-choi-lien-minh-huyen-thoai-lol-muot-gia-sinh-vien,P3,IMAGES_MISSING_DIMENSIONS,IMAGES_MISSING_LAZYLOAD,thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
66,1002756119,Top GPU hợp lý cho game thủ ngân sách tầm trung (dưới 8 triệu) năm 2025,https://sintech.vn/blogs/huong-dan/top-gpu-hop-ly-cho-game-thu-ngan-sach-tam-trung-duoi-8-trieu-nam-202,P2,BODY_HTML_LEGACY,IMAGES_MISSING_DIMENSIONS,nén ảnh >300KB + clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold,0,0
67,1003006977,Lịch phát hành phim chiếu rạp tháng 6/2026 đáng chú ý,https://sintech.vn/blogs/news/lich-phat-phim-chieu-rap-thang-6-2026-dang-chu-y,P2,HERO_IMAGE_TOO_HEAVY,INLINE_IMAGES_TOO_HEAVY,resize/nén hero + nén ảnh >300KB + clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold,0,0
68,1002543255,"Sửa Máy Tính Quận 4 Uy Tín, Chất Lượng, Minh Bạch",https://sintech.vn/blogs/news/sua-may-tinh-quan-4-uy-tin-chat-luong-minh-bach,P2,IMAGES_BROKEN,BODY_HTML_LEGACY,thay ảnh chết + nén ảnh >300KB + clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
69,1002401886,"Cấu hình chơi Genshin Impact Trên PC, Laptop",https://sintech.vn/blogs/news/cau-hinh-choi-genshin-impact-tren-pc-laptop,P2,HERO_IMAGE_TOO_HEAVY,INLINE_IMAGES_TOO_HEAVY,resize/nén hero + nén ảnh >300KB + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
70,1002430608,Màn hình di động là gì? 10 tiêu chí lưu ý khi chọn mua màn di động,https://sintech.vn/blogs/news/man-hinh-di-dong-la-gi-10-tieu-chi-luu-y-khi-chon-mua-man-di-dong,P2,INLINE_IMAGES_TOO_HEAVY,IMAGES_MISSING_DIMENSIONS,nén ảnh >300KB + thêm width/height + lazy-load ảnh dưới fold,0,0
71,1002745138,Sinh viên TP.HCM chọn laptop văn phòng 10–15 triệu: Nên ưu tiên gì?,https://sintech.vn/blogs/huong-dan/sinh-vien-tp-hcm-chon-laptop-van-phong-10-15-trieu-nen-uu-tien-gi,P2,HERO_IMAGE_TOO_HEAVY,BODY_HTML_LEGACY,resize/nén hero + nén ảnh >300KB + clean HTML cũ,0,0
72,1002398123,ASUS TUF A14 2024: Bước ngoặt vượt trội của laptop gaming hiệu năng AI,https://sintech.vn/blogs/news/asus-tuf-a14-2024-buoc-ngoat-vuot-troi-cua-laptop-gaming-hieu-nang-ai,P2,BODY_HTML_LEGACY,IMAGES_MISSING_DIMENSIONS,nén ảnh >300KB + clean HTML cũ + thêm width/height + lazy-load ảnh dưới fold,0,0
73,1002413806,Hisense nâng tầm trải nghiệm chơi game với màn hình cỡ lớn tại IFA 2024,https://sintech.vn/blogs/news/hisense-nang-tam-trai-nghiem-choi-game-voi-man-hinh-co-lon-tai-ifa-202,P2,HERO_IMAGE_TOO_HEAVY,INLINE_IMAGES_TOO_HEAVY,resize/nén hero + nén ảnh >300KB + clean HTML cũ + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
74,1002399806,"Cấu hình chơi GTA 5 - Grand Theft Auto V trên PC, Laptop",https://sintech.vn/blogs/news/cau-hinh-choi-gta-5-grand-theft-auto-v-tren-pc-laptop,P2,HERO_IMAGE_TOO_HEAVY,INLINE_IMAGES_TOO_HEAVY,resize/nén hero + nén ảnh >300KB + lazy-load ảnh dưới fold + gỡ/thay ảnh external,0,0
