p0_rank,article_id,article_title,article_url,img_index,role,image_url,is_external,bytes,width,height,issue,action,target
7,1002728313,"PC nào chơi được GTA 5? Gợi ý build PC chơi GTA V mượt mà, giá tốt",https://sintech.vn/blogs/huong-dan/pc-nao-choi-duoc-gta-5-goi-y-build-pc-choi-gta-v-muot-ma-gia-tot,3,inline,https://hoanghamobile.com/tin-tuc/wp-content/uploads/2024/07/gta-5-thumb.jpg,yes,CHẾT,,,broken,REMOVE_BROKEN,WebP · cảnh báo >300KB · urgent >700KB
7,1002728313,"PC nào chơi được GTA 5? Gợi ý build PC chơi GTA V mượt mà, giá tốt",https://sintech.vn/blogs/huong-dan/pc-nao-choi-duoc-gta-5-goi-y-build-pc-choi-gta-v-muot-ma-gia-tot,4,inline,https://cdn.tgdd.vn/2020/07/campaign/cach-cai-dat-gta-v-roleplay-tren-may-tinh-thumb-640x360.jpg,yes,89KB,,,ok,MANUAL_REPLACE,WebP · cảnh báo >300KB · urgent >700KB
8,1002420376,"Bật mí cách gắn quạt tản nhiệt cho PC trong 5 bước đơn giản, nhanh chóng",https://sintech.vn/blogs/news/bat-mi-cach-gan-quat-tan-nhiet-cho-pc-trong-5-buoc-don-gian-nhanh-cho,0,hero,https://bizweb.dktcdn.net/100/329/122/files/quat-tan-nhiet-giup-giam-nhiet-luong-toa-ra-tu-he-thong-may-tinh.jpg?v=1701189392090,yes,72KB,,,ok,MANUAL_REPLACE,1200×675 (hoặc 1200×628) · ưu tiên WebP · ≤180KB
8,1002420376,"Bật mí cách gắn quạt tản nhiệt cho PC trong 5 bước đơn giản, nhanh chóng",https://sintech.vn/blogs/news/bat-mi-cach-gan-quat-tan-nhiet-cho-pc-trong-5-buoc-don-gian-nhanh-cho,1,inline,https://bizweb.dktcdn.net/100/329/122/files/chon-quat-tan-nhiet-co-kich-thuoc-phu-hop-voi-case-may-tinh.jpg?v=1701189404275,yes,109KB,,,ok,MANUAL_REPLACE,WebP · cảnh báo >300KB · urgent >700KB
8,1002420376,"Bật mí cách gắn quạt tản nhiệt cho PC trong 5 bước đơn giản, nhanh chóng",https://sintech.vn/blogs/news/bat-mi-cach-gan-quat-tan-nhiet-cho-pc-trong-5-buoc-don-gian-nhanh-cho,2,inline,https://bizweb.dktcdn.net/100/329/122/files/uu-tien-cac-loai-quat-pwm-de-co-the-dieu-khien-toc-do-quat-bang-tin-hieu-pwm-1.png?v=1701189417324,yes,40KB,,,ok,MANUAL_REPLACE,WebP · cảnh báo >300KB · urgent >700KB
8,1002420376,"Bật mí cách gắn quạt tản nhiệt cho PC trong 5 bước đơn giản, nhanh chóng",https://sintech.vn/blogs/news/bat-mi-cach-gan-quat-tan-nhiet-cho-pc-trong-5-buoc-don-gian-nhanh-cho,3,inline,https://bizweb.dktcdn.net/100/329/122/files/can-xac-dinh-duoc-vi-tri-can-tan-nhiet.jpg?v=1701189429379,yes,38KB,,,ok,MANUAL_REPLACE,WebP · cảnh báo >300KB · urgent >700KB
8,1002420376,"Bật mí cách gắn quạt tản nhiệt cho PC trong 5 bước đơn giản, nhanh chóng",https://sintech.vn/blogs/news/bat-mi-cach-gan-quat-tan-nhiet-cho-pc-trong-5-buoc-don-gian-nhanh-cho,4,inline,https://bizweb.dktcdn.net/100/329/122/files/can-giu-cho-ap-suat-duong-hoac-trung-tinh-trong-case-may-tinh.jpg?v=1701189440261,yes,63KB,,,ok,MANUAL_REPLACE,WebP · cảnh báo >300KB · urgent >700KB
10,1002792621,Top phần mềm test VGA (card màn hình) hiệu quả 2025 Kiểm tra hiệu năng & ổn định GPU,https://sintech.vn/blogs/huong-dan/top-phan-mem-test-vga-card-man-hinh-hieu-qua-2025-giup-kiem-tra-hi,0,hero,https://cdn.hstatic.net/200000860097/file/13_77529618785240b8baf73c169349a586_grande.png,no,194KB,,,ok,KEEP_LCP_NO_LAZY,1200×675 (hoặc 1200×628) · ưu tiên WebP · ≤180KB
10,1002792621,Top phần mềm test VGA (card màn hình) hiệu quả 2025 Kiểm tra hiệu năng & ổn định GPU,https://sintech.vn/blogs/huong-dan/top-phan-mem-test-vga-card-man-hinh-hieu-qua-2025-giup-kiem-tra-hi,1,inline,https://cdn.hstatic.net/200000860097/file/14_9928c0f6a84e47899977af650fa15529_grande.png,no,349KB,,,heavy,RESIZE,WebP · cảnh báo >300KB · urgent >700KB
10,1002792621,Top phần mềm test VGA (card màn hình) hiệu quả 2025 Kiểm tra hiệu năng & ổn định GPU,https://sintech.vn/blogs/huong-dan/top-phan-mem-test-vga-card-man-hinh-hieu-qua-2025-giup-kiem-tra-hi,2,inline,https://cdn.hstatic.net/200000860097/file/15_9662564061454523bb246de3d3d4c9b7_grande.png,no,171KB,,,ok,SET_LAZYLOAD,WebP · cảnh báo >300KB · urgent >700KB
10,1002792621,Top phần mềm test VGA (card màn hình) hiệu quả 2025 Kiểm tra hiệu năng & ổn định GPU,https://sintech.vn/blogs/huong-dan/top-phan-mem-test-vga-card-man-hinh-hieu-qua-2025-giup-kiem-tra-hi,3,inline,https://cdn.hstatic.net/200000860097/file/16_3bbb267b6fb545e59db3cf74aa31bec8_grande.png,no,355KB,,,heavy,RESIZE,WebP · cảnh báo >300KB · urgent >700KB
10,1002792621,Top phần mềm test VGA (card màn hình) hiệu quả 2025 Kiểm tra hiệu năng & ổn định GPU,https://sintech.vn/blogs/huong-dan/top-phan-mem-test-vga-card-man-hinh-hieu-qua-2025-giup-kiem-tra-hi,4,inline,https://cdn.hstatic.net/200000860097/file/17_098016bd1b704dd1bf7a654eb087b6a7_grande.png,no,114KB,,,ok,SET_LAZYLOAD,WebP · cảnh báo >300KB · urgent >700KB
10,1002792621,Top phần mềm test VGA (card màn hình) hiệu quả 2025 Kiểm tra hiệu năng & ổn định GPU,https://sintech.vn/blogs/huong-dan/top-phan-mem-test-vga-card-man-hinh-hieu-qua-2025-giup-kiem-tra-hi,5,inline,https://cdn.hstatic.net/200000860097/file/18_d797e80ac773461ab38da1de605a2e30_grande.png,no,164KB,,,ok,SET_LAZYLOAD,WebP · cảnh báo >300KB · urgent >700KB
10,1002792621,Top phần mềm test VGA (card màn hình) hiệu quả 2025 Kiểm tra hiệu năng & ổn định GPU,https://sintech.vn/blogs/huong-dan/top-phan-mem-test-vga-card-man-hinh-hieu-qua-2025-giup-kiem-tra-hi,6,inline,https://cdn.hstatic.net/200000860097/file/19_3a32c8d230704f4b813793a343f104f4_grande.png,no,157KB,,,ok,SET_LAZYLOAD,WebP · cảnh báo >300KB · urgent >700KB
10,1002792621,Top phần mềm test VGA (card màn hình) hiệu quả 2025 Kiểm tra hiệu năng & ổn định GPU,https://sintech.vn/blogs/huong-dan/top-phan-mem-test-vga-card-man-hinh-hieu-qua-2025-giup-kiem-tra-hi,7,inline,https://cdn.hstatic.net/200000860097/file/20_29b31319b5994ef6b61beeb0d9287910_grande.png,no,68KB,,,ok,SET_LAZYLOAD,WebP · cảnh báo >300KB · urgent >700KB
10,1002792621,Top phần mềm test VGA (card màn hình) hiệu quả 2025 Kiểm tra hiệu năng & ổn định GPU,https://sintech.vn/blogs/huong-dan/top-phan-mem-test-vga-card-man-hinh-hieu-qua-2025-giup-kiem-tra-hi,8,inline,https://cdn.hstatic.net/200000860097/file/21_f79ab274573f4443aafe7f1f9171fa87_grande.png,no,122KB,,,ok,SET_LAZYLOAD,WebP · cảnh báo >300KB · urgent >700KB
10,1002792621,Top phần mềm test VGA (card màn hình) hiệu quả 2025 Kiểm tra hiệu năng & ổn định GPU,https://sintech.vn/blogs/huong-dan/top-phan-mem-test-vga-card-man-hinh-hieu-qua-2025-giup-kiem-tra-hi,9,inline,https://cdn.hstatic.net/200000860097/file/22_bb7d8a4a2e8b405ba9d6a9f4a3997003_grande.png,no,226KB,,,ok,SET_LAZYLOAD,WebP · cảnh báo >300KB · urgent >700KB
10,1002792621,Top phần mềm test VGA (card màn hình) hiệu quả 2025 Kiểm tra hiệu năng & ổn định GPU,https://sintech.vn/blogs/huong-dan/top-phan-mem-test-vga-card-man-hinh-hieu-qua-2025-giup-kiem-tra-hi,10,inline,https://cdn.hstatic.net/200000860097/file/23_b7f39d895e59416cb9db77b2dad52945_grande.png,no,161KB,,,ok,SET_LAZYLOAD,WebP · cảnh báo >300KB · urgent >700KB
