p0_rank_ref,article_id,title,img_index,role,img_url,size,status,action
7,1002728313,"PC nào chơi được GTA 5? Gợi ý build PC chơi GTA V mượt mà, giá tốt",0,hero,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3240220/header.jpg?t=1753974947,55KB,ok,set width/height + KHÔNG lazy (ảnh LCP) + cân nhắc fetchpriority=high + ảnh external → cân nhắc re-host nội bộ
7,1002728313,"PC nào chơi được GTA 5? Gợi ý build PC chơi GTA V mượt mà, giá tốt",1,inline,https://cellphones.com.vn/sforum/wp-content/uploads/2023/01/gta-5-thumb.jpg,96KB,ok,thêm width/height + thêm loading=lazy + ảnh external → cân nhắc re-host nội bộ
7,1002728313,"PC nào chơi được GTA 5? Gợi ý build PC chơi GTA V mượt mà, giá tốt",2,inline,https://kamikey.com/wp-content/uploads/2024/12/gta-5-steam.jpg,183KB,ok,thêm width/height + thêm loading=lazy + ảnh external → cân nhắc re-host nội bộ
7,1002728313,"PC nào chơi được GTA 5? Gợi ý build PC chơi GTA V mượt mà, giá tốt",3,inline,https://hoanghamobile.com/tin-tuc/wp-content/uploads/2024/07/gta-5-thumb.jpg,CHẾT,broken,THAY ảnh chết (re-host/đổi ảnh) + ảnh external → cân nhắc re-host nội bộ
7,1002728313,"PC nào chơi được GTA 5? Gợi ý build PC chơi GTA V mượt mà, giá tốt",4,inline,https://cdn.tgdd.vn/2020/07/campaign/cach-cai-dat-gta-v-roleplay-tren-may-tinh-thumb-640x360.jpg,89KB,ok,thêm width/height + thêm loading=lazy + ảnh external → cân nhắc re-host nội bộ
10,1002792621,Top phần mềm test VGA (card màn hình) hiệu quả 2025 Kiểm tra hiệu năng & ổn định GPU,0,hero,https://cdn.hstatic.net/200000860097/file/13_77529618785240b8baf73c169349a586_grande.png,194KB,ok,set width/height + KHÔNG lazy (ảnh LCP) + cân nhắc fetchpriority=high
10,1002792621,Top phần mềm test VGA (card màn hình) hiệu quả 2025 Kiểm tra hiệu năng & ổn định GPU,1,inline,https://cdn.hstatic.net/200000860097/file/14_9928c0f6a84e47899977af650fa15529_grande.png,349KB,heavy,nén/resize ≤150KB + thêm width/height + thêm loading=lazy
10,1002792621,Top phần mềm test VGA (card màn hình) hiệu quả 2025 Kiểm tra hiệu năng & ổn định GPU,2,inline,https://cdn.hstatic.net/200000860097/file/15_9662564061454523bb246de3d3d4c9b7_grande.png,171KB,ok,thêm width/height + thêm loading=lazy
10,1002792621,Top phần mềm test VGA (card màn hình) hiệu quả 2025 Kiểm tra hiệu năng & ổn định GPU,3,inline,https://cdn.hstatic.net/200000860097/file/16_3bbb267b6fb545e59db3cf74aa31bec8_grande.png,355KB,heavy,nén/resize ≤150KB + thêm width/height + thêm loading=lazy
10,1002792621,Top phần mềm test VGA (card màn hình) hiệu quả 2025 Kiểm tra hiệu năng & ổn định GPU,4,inline,https://cdn.hstatic.net/200000860097/file/17_098016bd1b704dd1bf7a654eb087b6a7_grande.png,114KB,ok,thêm width/height + thêm loading=lazy
10,1002792621,Top phần mềm test VGA (card màn hình) hiệu quả 2025 Kiểm tra hiệu năng & ổn định GPU,5,inline,https://cdn.hstatic.net/200000860097/file/18_d797e80ac773461ab38da1de605a2e30_grande.png,164KB,ok,thêm width/height + thêm loading=lazy
10,1002792621,Top phần mềm test VGA (card màn hình) hiệu quả 2025 Kiểm tra hiệu năng & ổn định GPU,6,inline,https://cdn.hstatic.net/200000860097/file/19_3a32c8d230704f4b813793a343f104f4_grande.png,157KB,ok,thêm width/height + thêm loading=lazy
10,1002792621,Top phần mềm test VGA (card màn hình) hiệu quả 2025 Kiểm tra hiệu năng & ổn định GPU,7,inline,https://cdn.hstatic.net/200000860097/file/20_29b31319b5994ef6b61beeb0d9287910_grande.png,68KB,ok,thêm width/height + thêm loading=lazy
10,1002792621,Top phần mềm test VGA (card màn hình) hiệu quả 2025 Kiểm tra hiệu năng & ổn định GPU,8,inline,https://cdn.hstatic.net/200000860097/file/21_f79ab274573f4443aafe7f1f9171fa87_grande.png,122KB,ok,thêm width/height + thêm loading=lazy
10,1002792621,Top phần mềm test VGA (card màn hình) hiệu quả 2025 Kiểm tra hiệu năng & ổn định GPU,9,inline,https://cdn.hstatic.net/200000860097/file/22_bb7d8a4a2e8b405ba9d6a9f4a3997003_grande.png,226KB,ok,thêm width/height + thêm loading=lazy
10,1002792621,Top phần mềm test VGA (card màn hình) hiệu quả 2025 Kiểm tra hiệu năng & ổn định GPU,10,inline,https://cdn.hstatic.net/200000860097/file/23_b7f39d895e59416cb9db77b2dad52945_grande.png,161KB,ok,thêm width/height + thêm loading=lazy
8,1002420376,"Bật mí cách gắn quạt tản nhiệt cho PC trong 5 bước đơn giản, nhanh chóng",0,hero,https://bizweb.dktcdn.net/100/329/122/files/quat-tan-nhiet-giup-giam-nhiet-luong-toa-ra-tu-he-thong-may-tinh.jpg?v=1701189392090,72KB,ok,set width/height + KHÔNG lazy (ảnh LCP) + cân nhắc fetchpriority=high + ảnh external → cân nhắc re-host nội bộ
8,1002420376,"Bật mí cách gắn quạt tản nhiệt cho PC trong 5 bước đơn giản, nhanh chóng",1,inline,https://bizweb.dktcdn.net/100/329/122/files/chon-quat-tan-nhiet-co-kich-thuoc-phu-hop-voi-case-may-tinh.jpg?v=1701189404275,109KB,ok,thêm width/height + thêm loading=lazy + ảnh external → cân nhắc re-host nội bộ
8,1002420376,"Bật mí cách gắn quạt tản nhiệt cho PC trong 5 bước đơn giản, nhanh chóng",2,inline,https://bizweb.dktcdn.net/100/329/122/files/uu-tien-cac-loai-quat-pwm-de-co-the-dieu-khien-toc-do-quat-bang-tin-hieu-pwm-1.png?v=1701189417324,40KB,ok,thêm width/height + thêm loading=lazy + ảnh external → cân nhắc re-host nội bộ
8,1002420376,"Bật mí cách gắn quạt tản nhiệt cho PC trong 5 bước đơn giản, nhanh chóng",3,inline,https://bizweb.dktcdn.net/100/329/122/files/can-xac-dinh-duoc-vi-tri-can-tan-nhiet.jpg?v=1701189429379,38KB,ok,thêm width/height + thêm loading=lazy + ảnh external → cân nhắc re-host nội bộ
8,1002420376,"Bật mí cách gắn quạt tản nhiệt cho PC trong 5 bước đơn giản, nhanh chóng",4,inline,https://bizweb.dktcdn.net/100/329/122/files/can-giu-cho-ap-suat-duong-hoac-trung-tinh-trong-case-may-tinh.jpg?v=1701189440261,63KB,ok,thêm width/height + thêm loading=lazy + ảnh external → cân nhắc re-host nội bộ
