rank,tier,priority_score,owner,article_id,title,url,status,rewritten_ai_live,gsc_clicks,gsc_impr,ga4_sessions,m_perf,m_lcp,m_cls,m_tbt,m_fcp,d_perf,d_lcp,ttfb,field_lcp,field_cat,word_count,body_len,dom_est,image_count,external_image_count,broken_image_count,hero_url,hero_bytes,hero_w,hero_h,hero_aspect,inline_total_bytes,imgs_missing_dim,imgs_missing_lazy,imgs_over_300k,imgs_over_700k,iframe_count,script_count,table_count,legacy,primary_issue,secondary_issue,issues,m_opp
11,P0,2052.2,MANUAL_REVIEW,1002717797,"Top 10 Thương Hiệu Linh Kiện Máy Tính Được Yêu Thích Nhất Tại Việt Nam: Game thủ, dân văn phòng, ai cũng mê!",https://sintech.vn/blogs/news/top-10-thuong-hieu-linh-kien-may-tinh-duoc-yeu-thich-nhat-tai-viet-nam,reverse_copy_defense,False,3,73,2,46,14686,0.1887,149,8632,72,2746,,1678,AVERAGE,4492,0,0,0,0,0,,0,,,,0,0,0,0,0,0,0,0,False,NEED_MANUAL_REVIEW,CLS_LAYOUT_RISK,NEED_MANUAL_REVIEW|CLS_LAYOUT_RISK,
12,P1,1842.8,IMAGE,1002745043,NPU là gì? Vì sao PC 2025 cần có NPU để chạy AI mượt mà hơn,https://sintech.vn/blogs/news/npu-la-gi-vi-sao-pc-2025-can-co-npu-de-chay-ai-muot-ma-hon,draft_ready,False,1,115,2,40,13156,0.4404,338,3372,64,2661,,1678,AVERAGE,4547,35694,551,2,0,0,https://file.hstatic.net/200000860097/file/npu_la_gi_bb84861f2a544978934c84d3f46cdbb4_grande.png,372876,,,,410272,2,1,1,0,0,0,1,True,HERO_IMAGE_TOO_HEAVY,BODY_HTML_LEGACY,HERO_IMAGE_TOO_HEAVY|BODY_HTML_LEGACY|CLS_LAYOUT_RISK,
13,P0,1610.5,IMAGE,1002792621,Top phần mềm test VGA (card màn hình) hiệu quả 2025 Kiểm tra hiệu năng & ổn định GPU,https://sintech.vn/blogs/huong-dan/top-phan-mem-test-vga-card-man-hinh-hieu-qua-2025-giup-kiem-tra-hi,draft_ready,False,0,85,3,38,12599,0.9109,260,3371,83,2440,,1678,AVERAGE,5211,80061,1589,11,0,0,https://cdn.hstatic.net/200000860097/file/13_77529618785240b8baf73c169349a586_grande.png,199069,,,,2137497,11,10,2,0,0,0,1,True,INLINE_IMAGES_TOO_HEAVY,BODY_HTML_LEGACY,INLINE_IMAGES_TOO_HEAVY|BODY_HTML_LEGACY|DOM_TOO_LARGE|IMAGES_MISSING_DIMENSIONS|IMAGES_MISSING_LAZYLOAD|CLS_LAYOUT_RISK,
14,P1,1186.2,CONTENT,1002277948,Giới thiệu về công ty máy tính Sintech,https://sintech.vn/blogs/news/gioi-thieu-ve-cong-ty-may-tinh-sintech,draft_ready,False,1,68,1,46,12493,0.2718,328,3414,74,2610,,1678,AVERAGE,3736,3093,41,1,0,0,https://file.hstatic.net/200000860097/file/z5347294928571_68187e7f6409e367f8824cfd957cbdba_0624be57e55f4baa98c876970fa4ad9f_grande.jpg,82651,,,,82651,1,0,0,0,0,0,0,True,BODY_HTML_LEGACY,CLS_LAYOUT_RISK,BODY_HTML_LEGACY|CLS_LAYOUT_RISK,
15,P1,1163.8,CONTENT,1002601884,"Intel ra mắt CPU Core Ultra 300 (Panther Lake) năm 2026, sản xuất hàng loạt từ cuối 2025",https://sintech.vn/blogs/news/intel-ra-mat-cpu-core-ultra-300-panther-lake-nam-2026-san-xuat-hang,draft_ready,False,1,35,1,47,15154,0.1828,405,3382,62,10553,,1678,AVERAGE,4190,9451,205,2,2,0,https://cdn.wccftech.com/wp-content/uploads/2025/04/2025-04-01_21-37-38.png,0,,,,0,2,1,0,0,0,0,1,True,BODY_HTML_LEGACY,CLS_LAYOUT_RISK,BODY_HTML_LEGACY|CLS_LAYOUT_RISK,
16,P1,1060.9,CONTENT,1002600742,"AMD chuẩn bị ra mắt Radeon RX 9070 GRE với hiệu năng mạnh, giá cạnh tranh hơn",https://sintech.vn/blogs/news/amd-chuan-bi-ra-mat-radeon-rx-9070-gre-voi-hieu-nang-manh-gia-canh-tr,draft_ready,False,1,19,1,54,14227,0.216,126,3348,93,1191,,1678,AVERAGE,4385,9561,265,2,2,0,https://cdn.wccftech.com/wp-content/uploads/2025/04/2025-04-03_11-26-40.jpg,289069,,,,787369,2,1,1,0,0,0,4,True,BODY_HTML_LEGACY,CLS_LAYOUT_RISK,BODY_HTML_LEGACY|CLS_LAYOUT_RISK,
17,P0,1016.9,THEME_CODE,1002420376,"Bật mí cách gắn quạt tản nhiệt cho PC trong 5 bước đơn giản, nhanh chóng",https://sintech.vn/blogs/news/bat-mi-cach-gan-quat-tan-nhiet-cho-pc-trong-5-buoc-don-gian-nhanh-cho,draft_ready,False,0,37,3,39,12594,0.7668,262,3374,77,1930,,1678,AVERAGE,4898,9033,74,5,5,0,https://bizweb.dktcdn.net/100/329/122/files/quat-tan-nhiet-giup-giam-nhiet-luong-toa-ra-tu-he-thong-may-tinh.jpg?v=1701189392090,74318,,,,332518,5,4,0,0,0,0,0,False,IMAGES_MISSING_DIMENSIONS,IMAGES_MISSING_LAZYLOAD,IMAGES_MISSING_DIMENSIONS|IMAGES_MISSING_LAZYLOAD|CLS_LAYOUT_RISK,
18,P0,911.0,THEME_CODE,1002414345,Cách khắc phục lỗi Command Prompt tự mở trên Windows,https://sintech.vn/blogs/news/cach-khac-phuc-loi-command-prompt-tu-mo-tren-windows,applied,True,0,27,3,34,8704,0.792,440,3379,83,2318,,1678,AVERAGE,4656,6681,81,0,0,0,,0,,,,0,0,0,0,0,0,0,0,False,CLS_LAYOUT_RISK,,CLS_LAYOUT_RISK,
19,P1,871.4,THEME_CODE,1002411453,Bảng mã lỗi Mainboard Huananzhi x99,https://sintech.vn/blogs/news/bang-ma-loi-mainboard-huananzhi-x99,draft_ready,False,0,100,2,36,10122,1.0432,327,3367,82,2474,,1678,AVERAGE,9857,35354,615,0,0,0,,0,,,,0,0,0,0,0,0,0,4,False,CLS_LAYOUT_RISK,,CLS_LAYOUT_RISK,
20,P1,863.6,IMAGE,1002746933,So sánh RAM DDR4 vs DDR5 đáng mua năm 2025: nên chọn loại nào?,https://sintech.vn/blogs/huong-dan/so-sanh-ram-ddr4-vs-ddr5-dang-mua-nam-2025-nen-chon-loai-nao,draft_ready,False,0,36,1,50,15893,0.1347,170,8480,70,3327,,1678,AVERAGE,4335,43128,757,3,3,0,https://lh7-rt.googleusercontent.com/docsz/AD_4nXeyn1kr5LlqAwjwi9olIYBM-fvCJs9eUFgku1OzyFqCcf8BQ7lmLuz2dlV0f9Dg-ZcveyQaDMWnggw-xcpV-MjTe9IaSVEFJQI7VR6ZkYpRCNvFUp0jAZwPBWsp036Uu5_nUMJ4og?key=4ShtyhKDg2hhvj3UL57rtw,933545,602,401,1.5,2891226,0,2,3,2,0,0,1,True,HERO_IMAGE_TOO_HEAVY,INLINE_IMAGES_TOO_HEAVY,HERO_IMAGE_TOO_HEAVY|INLINE_IMAGES_TOO_HEAVY|BODY_HTML_LEGACY|CLS_LAYOUT_RISK,
21,P1,857.7,CONTENT,1002758362,DLSS 4 là gì? Cách bật DLSS 4 trên card NVIDIA,https://sintech.vn/blogs/huong-dan/dlss-4-la-gi-cach-bat-dlss-4-tren-card-nvidia,draft_ready,False,1,59,0,43,12594,0.4142,288,3362,78,2294,,1678,AVERAGE,4668,24277,359,8,0,0,https://cdn.hstatic.net/200000860097/file/1_257adc3fc75e4cf185ffa45603cc1898_grande.png,256669,,,,1214679,8,7,0,0,0,0,0,True,BODY_HTML_LEGACY,IMAGES_MISSING_DIMENSIONS,BODY_HTML_LEGACY|IMAGES_MISSING_DIMENSIONS|IMAGES_MISSING_LAZYLOAD|CLS_LAYOUT_RISK,
22,P1,841.1,THEME_CODE,1002430893,Cách khôi phục file đã xóa trên Windows 11 trong tích tắc,https://sintech.vn/blogs/news/cach-khoi-phuc-file-da-xoa-tren-windows-11-trong-tich-tac,draft_ready,False,1,154,0,42,10200,0.4134,313,3381,76,1929,,1678,AVERAGE,4176,6657,112,12,12,0,https://bizweb.dktcdn.net/100/329/122/files/khoi-phuc-file-da-xoa-giup-giu-lai-du-lieu-quan-trong.jpg?v=1703476933595,15824,,,,683957,12,11,0,0,0,0,0,False,IMAGES_MISSING_DIMENSIONS,IMAGES_MISSING_LAZYLOAD,IMAGES_MISSING_DIMENSIONS|IMAGES_MISSING_LAZYLOAD|CLS_LAYOUT_RISK,
23,P1,836.4,THEME_CODE,1002423345,Visual Studio Code là gì? Các tính năng nổi bật của Visual Studio Code,https://sintech.vn/blogs/news/visual-studio-code-la-gi-cac-tinh-nang-noi-bat-cua-visual-studio-code,applied,True,1,15,1,22,8689,0.2944,2314,3479,76,2361,,1678,AVERAGE,4313,4659,42,0,0,0,,0,,,,0,0,0,0,0,0,0,0,False,CLS_LAYOUT_RISK,,CLS_LAYOUT_RISK,
24,P1,806.9,THEME_CODE,1002399833,"Cấu hình chơi Naraka: Bladepoint Trên PC, Laptop",https://sintech.vn/blogs/news/cau-hinh-choi-naraka-bladepoint-tren-pc-laptop,draft_ready,False,1,31,1,38,9972,0.4103,434,3367,82,2511,,1678,AVERAGE,4256,6612,101,7,7,0,https://longhungpc.vn/media/lib/16-11-2022/cau-hinh-choi-naraka-1.jpg,44933,600,400,1.5,369684,0,6,0,0,0,0,0,False,IMAGES_MISSING_LAZYLOAD,CLS_LAYOUT_RISK,IMAGES_MISSING_LAZYLOAD|CLS_LAYOUT_RISK,
25,P1,794.9,THEME_CODE,1002404222,Tổng hợp những kiến thức quan trọng về CPU của Intel,https://sintech.vn/blogs/news/tong-hop-nhung-kien-thuc-quan-trong-ve-cpu-cua-intel,applied,True,2,6,1,50,4289,0.585,296,3385,73,2368,,1678,AVERAGE,4502,5498,48,0,0,0,,0,,,,0,0,0,0,0,0,0,0,False,CLS_LAYOUT_RISK,,CLS_LAYOUT_RISK,
26,P1,739.6,IMAGE,1002398522,"Trung tâm sửa laptop - máy tính uy tín, lấy ngay ở Quận 7",https://sintech.vn/blogs/news/trung-tam-sua-laptop-uy-tin-lay-ngay-o-quan-7,draft_ready,False,0,18,1,37,16578,1.1105,278,3371,78,2748,,1678,AVERAGE,5837,17318,325,11,7,1,https://file.hstatic.net/200000860097/file/234567_b109ad55e17347d1bc5445c85e0acd83_grande.png,394648,,,,1444111,11,10,2,0,0,0,1,True,IMAGES_BROKEN,HERO_IMAGE_TOO_HEAVY,IMAGES_BROKEN|HERO_IMAGE_TOO_HEAVY|BODY_HTML_LEGACY|IMAGES_MISSING_DIMENSIONS|IMAGES_MISSING_LAZYLOAD|CLS_LAYOUT_RISK,
27,P1,722.1,CONTENT,1002728484,Keo tản nhiệt kim loại lỏng là gì? Có nên dùng không?,https://sintech.vn/blogs/huong-dan/keo-tan-nhiet-kim-loai-long-la-gi-co-nen-dung-khong,applied,True,0,59,1,39,12971,0.5614,310,3334,74,2726,,1678,AVERAGE,4661,8280,108,1,0,0,https://file.hstatic.net/200000860097/file/6_cee4fc73cdfb4582a12c1cac185f2d98_grande.png,218363,,,,218363,1,0,0,0,0,0,1,True,BODY_HTML_LEGACY,CLS_LAYOUT_RISK,BODY_HTML_LEGACY|CLS_LAYOUT_RISK,
28,P1,673.0,THEME_CODE,1002423381,CUDA Core là gì? Vai trò của CUDA trong GPU đồ họa NVIDIA,https://sintech.vn/blogs/news/cuda-core-la-gi-vai-tro-cua-cuda-trong-gpu-do-hoa-nvidia,draft_ready,False,0,110,1,43,13108,0.2386,130,8768,77,1111,,1678,AVERAGE,4490,8573,304,3,3,0,https://minhancomputer.com/media/news/2110_nhan-cuda-core-la-gi-nvidia.jpg,63342,700,362,1.93,172604,0,2,0,0,0,0,1,False,CLS_LAYOUT_RISK,,CLS_LAYOUT_RISK,
29,P1,620.4,IMAGE,1002793749,Giảm tiếng ồn quạt PC: Nguyên nhân & cách khắc phục hiệu quả (2025),https://sintech.vn/blogs/huong-dan/giam-tieng-on-quat-pc-nguyen-nhan-cach-khac-phuc-hieu-qua-2025,draft_ready,False,0,34,1,41,8921,0.7575,220,3361,73,2375,,1678,AVERAGE,4692,37629,695,6,0,0,https://cdn.hstatic.net/200000860097/file/13_0d4c4da601554935bf98068c34cd64dc_grande.png,253649,,,,1863535,6,5,3,0,0,0,0,True,INLINE_IMAGES_TOO_HEAVY,BODY_HTML_LEGACY,INLINE_IMAGES_TOO_HEAVY|BODY_HTML_LEGACY|IMAGES_MISSING_DIMENSIONS|IMAGES_MISSING_LAZYLOAD|CLS_LAYOUT_RISK,
30,P1,583.8,IMAGE,1002767311,CORSAIR Ra Mắt WS3000 – Bộ Nguồn 3000W ATX 3.1 Cho Máy Trạm Hiệu Năng Cao,https://sintech.vn/blogs/huong-dan/corsair-ra-mat-ws3000-bo-nguon-3000w-atx-3-1-cho-may-tram-hieu-nang,draft_ready,False,0,6,1,36,13735,0.932,242,3378,76,2342,,1678,AVERAGE,4623,38514,671,4,0,0,https://cdn.hstatic.net/200000860097/file/1_80c9c71da6314a6e9ea47132f1ca8ba0_grande.png,359653,,,,818078,4,3,1,0,0,0,0,True,HERO_IMAGE_TOO_HEAVY,BODY_HTML_LEGACY,HERO_IMAGE_TOO_HEAVY|BODY_HTML_LEGACY|IMAGES_MISSING_DIMENSIONS|IMAGES_MISSING_LAZYLOAD|CLS_LAYOUT_RISK,
31,P1,542.1,THEME_CODE,1002431245,Cách tối ưu card Nvidia chơi game với hiệu năng cao mà bạn có thể chưa biết,https://sintech.vn/blogs/news/cach-toi-uu-card-nvidia-choi-game-voi-hieu-nang-cao-ma-ban-co-the-chua,draft_ready,False,0,52,2,51,5188,0.349,285,3371,68,2740,,1678,AVERAGE,5738,16245,166,15,15,0,https://bizweb.dktcdn.net/100/329/122/files/toi-uu-card-nvidia-giup-tang-hieu-suat-tong-the-cua-may-tinh.jpg?v=1701941486051,43164,,,,1048482,15,14,0,0,0,0,0,False,IMAGES_MISSING_DIMENSIONS,IMAGES_MISSING_LAZYLOAD,IMAGES_MISSING_DIMENSIONS|IMAGES_MISSING_LAZYLOAD|CLS_LAYOUT_RISK,
32,P1,518.5,CONTENT,1002814775,Kiểm Tra Tốc Độ Mạng: Làm Sao Biết Đường Truyền Của Bạn Có Thực Sự Nhanh?,https://sintech.vn/blogs/huong-dan/kiem-tra-toc-do-mang-lam-sao-biet-duong-truyen-cua-ban-co-thuc-su-nha,draft_ready,False,0,5,1,28,9166,0.642,641,3402,72,1764,,1678,AVERAGE,4601,58588,1033,7,0,0,https://cdn.hstatic.net/200000860097/file/tieu_de_98228c9b365c4e90b451623b073cea20_grande.png,139286,,,,775993,7,6,0,0,0,0,1,True,BODY_HTML_LEGACY,IMAGES_MISSING_DIMENSIONS,BODY_HTML_LEGACY|IMAGES_MISSING_DIMENSIONS|IMAGES_MISSING_LAZYLOAD|CLS_LAYOUT_RISK,
33,P2,515.9,IMAGE,1002726483,Tự build PC là làm gì? Tại sao phải tự chọn cấu hình?,https://sintech.vn/blogs/huong-dan/tu-build-pc-la-lam-gi-tai-sao-phai-tu-chon-cau-hinh,draft_ready,False,0,23,0,40,15449,0.5811,272,3389,77,3077,,1678,AVERAGE,5045,29238,410,8,7,0,https://file.hstatic.net/200000860097/file/2o_c3484bbc292342008b2618e7ab1cc497_grande.png,306271,,,,9296060,1,7,8,6,0,0,0,True,HERO_IMAGE_TOO_HEAVY,INLINE_IMAGES_TOO_HEAVY,HERO_IMAGE_TOO_HEAVY|INLINE_IMAGES_TOO_HEAVY|BODY_HTML_LEGACY|IMAGES_MISSING_LAZYLOAD|CLS_LAYOUT_RISK,
34,P1,511.2,IMAGE,1002767147,So sánh 3 VGA tầm giá 5–7 triệu: RTX 3050 vs RTX 3060 vs RX 6600 – card nào đáng mua cho eSports?,https://sintech.vn/blogs/huong-dan/so-sanh-3-vga-tam-gia-5-7-trieu-rtx-3050-vs-rtx-3060-vs-rx-6600-car,draft_ready,False,0,0,1,49,13769,0.1387,163,8633,82,2394,,1678,AVERAGE,4446,54744,1013,1,0,0,https://cdn.hstatic.net/200000860097/file/thiet_ke_chua_co_ten_2a3e5e8b47b64ae7a6be53e0a887604f_grande.png,334221,,,,334221,1,0,1,0,0,0,1,True,HERO_IMAGE_TOO_HEAVY,BODY_HTML_LEGACY,HERO_IMAGE_TOO_HEAVY|BODY_HTML_LEGACY|CLS_LAYOUT_RISK,
35,P1,510.4,CONTENT,1002731020,Cách giảm ping khi chơi game hiệu quả và ổn định,https://sintech.vn/blogs/huong-dan/cach-giam-ping-khi-choi-game-hieu-qua-va-on-dinh,draft_ready,False,0,0,1,48,14717,0.1721,95,8611,91,1011,,1678,AVERAGE,4265,27954,492,7,0,0,https://file.hstatic.net/200000860097/file/1_33fb0742d5194d1c9f5fbac6f1454d10_grande.png,142962,,,,922941,7,6,0,0,0,0,0,True,BODY_HTML_LEGACY,IMAGES_MISSING_DIMENSIONS,BODY_HTML_LEGACY|IMAGES_MISSING_DIMENSIONS|IMAGES_MISSING_LAZYLOAD|CLS_LAYOUT_RISK,
36,P2,499.6,IMAGE,1002989383,Build PC gaming 2026 theo ngân sách 15-40 triệu,https://sintech.vn/blogs/huong-dan/build-pc-gaming-2026-theo-ngan-sach-15-20-30-40-trieu-nen-chon-cau-hinh-nao,draft_ready,False,0,75,0,45,4681,1.0443,299,3331,92,1070,,1678,AVERAGE,7615,37560,226,3,0,0,https://cdn.hstatic.net/files/200000860097/file/10_49524afb2aa64b31aa115506887ebcad.png,1733831,,,,5144505,3,2,3,3,0,0,3,True,HERO_IMAGE_TOO_HEAVY,INLINE_IMAGES_TOO_HEAVY,HERO_IMAGE_TOO_HEAVY|INLINE_IMAGES_TOO_HEAVY|BODY_HTML_LEGACY|IMAGES_MISSING_DIMENSIONS|CLS_LAYOUT_RISK,
37,P2,464.7,IMAGE,1002423407,Tìm hiểu về ép xung: Phương pháp tăng tốc độ và sức mạnh của PC có thật sự an toàn và hiệu quả?,https://sintech.vn/blogs/news/tim-hieu-ve-ep-xung-phuong-phap-tang-toc-do-va-suc-manh-cua-pc-co-tha,draft_ready,False,0,5,0,62,4244,0.1873,339,3378,75,2473,,1678,AVERAGE,6011,18517,166,22,22,0,https://cdn.tgdd.vn/Files/2021/05/27/1355318/lostwatermelon_800x450.png,701264,,,,13834993,22,21,20,10,0,0,0,False,HERO_IMAGE_TOO_HEAVY,INLINE_IMAGES_TOO_HEAVY,HERO_IMAGE_TOO_HEAVY|INLINE_IMAGES_TOO_HEAVY|IMAGES_MISSING_DIMENSIONS|IMAGES_MISSING_LAZYLOAD|CLS_LAYOUT_RISK,
38,P1,425.9,THEME_CODE,1002398614,"Trung tâm vệ sinh PC uy tín, lấy ngay ở Quận 7",https://sintech.vn/blogs/news/trung-tam-ve-sinh-pc-uy-tin-lay-ngay-o-quan-7,draft_ready,False,0,7,1,36,12907,0.3163,404,3370,74,2409,,1678,AVERAGE,4321,5500,109,0,0,0,,0,,,,0,0,0,0,0,0,0,0,False,CLS_LAYOUT_RISK,,CLS_LAYOUT_RISK,
39,P2,402.2,IMAGE,1002726607,Tại sao quạt máy tính kêu to? Nguyên nhân và cách xử lý,https://sintech.vn/blogs/huong-dan/tai-sao-quat-may-tinh-keu-to-nguyen-nhan-va-cach-xu-ly,draft_ready,False,0,0,0,38,15600,0.5843,248,3340,71,2943,,1678,AVERAGE,4359,28456,447,9,9,0,https://lh7-rt.googleusercontent.com/docsz/AD_4nXcojmzQRLllk-zt-dD7GscKwYnchovYCv_IIqxZSvEmsipgYEz05JjyZi-y08Hzv9NXOdfGbF9yDvrQ_HUxgJDqlRYs3AgYUsmq3SFu6kLbUGBZyC76FJdMT5337y0MfVyDaUrTZw?key=4ShtyhKDg2hhvj3UL57rtw,1175598,440,329,1.34,10708983,0,8,9,8,0,0,0,True,HERO_IMAGE_TOO_HEAVY,INLINE_IMAGES_TOO_HEAVY,HERO_IMAGE_TOO_HEAVY|INLINE_IMAGES_TOO_HEAVY|BODY_HTML_LEGACY|IMAGES_MISSING_LAZYLOAD|CLS_LAYOUT_RISK,
